REGIAO:;SE
UF:;MG
ESTACAO:;CAMPINA VERDE
CODIGO (WMO):;A519
LATITUDE:;-19,53921
LONGITUDE:;-49,518133
ALTITUDE:;559,07
DATA DE FUNDACAO:;15/07/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;949,6;949,6;949,1;;23,1;21,4;23,2;23;21,5;21,3;90;90;90;252;3,3;,1;
2024/01/01;0100 UTC;0;949,9;950;949,6;;23;21,4;23,1;22,9;21,4;21,3;91;90;91;243;1,4;,5;
2024/01/01;0200 UTC;0;949,7;950;949,7;;22,7;21,2;23;22,7;21,4;21,2;91;91;91;286;1,9;,4;
2024/01/01;0300 UTC;0;949,4;949,7;949,4;;22,7;21,2;22,7;22,6;21,2;21,1;91;91;91;82;2,1;0;
2024/01/01;0400 UTC;,2;948,9;949,4;948,8;;22,7;21,2;22,7;22,6;21,2;21,1;91;91;91;143;,7;0;
2024/01/01;0500 UTC;0;948,4;948,9;948,4;;22,8;21,3;22,8;22,7;21,3;21,2;92;91;92;168;1,6;,3;
2024/01/01;0600 UTC;,2;948;948,4;948;;22,6;21,2;22,8;22,6;21,3;21,2;92;92;92;39;2,1;1;
2024/01/01;0700 UTC;0;948,3;948,3;947,9;;22,7;21,3;22,7;22,6;21,3;21,1;92;92;92;145;1,7;,5;
2024/01/01;0800 UTC;0;948,5;948,5;948,2;;22,8;21,4;22,8;22,7;21,4;21,2;92;92;92;90;1,5;,2;
2024/01/01;0900 UTC;0;949,3;949,3;948,5;39,2;22,8;21,4;22,8;22,6;21,4;21,1;92;91;92;128;2,7;,6;
2024/01/01;1000 UTC;0;949,7;949,7;949,3;233;23,1;21,5;23,3;22,8;21,7;21,3;92;91;91;75;2;,5;
2024/01/01;1100 UTC;0;950;950;949,7;508,1;23,9;22;23,9;23,1;22,1;21,5;91;89;89;54;1,9;1;
2024/01/01;1200 UTC;0;950,3;950,3;950;1268,3;24,7;21,9;25;23,8;22,5;21,8;89;84;84;62;3,9;2,3;
2024/01/01;1300 UTC;0;950,2;950,3;950,1;2346,5;26,7;22,8;27;24,7;23,3;21,8;85;79;79;38;5,1;2,5;
2024/01/01;1400 UTC;0;949,9;950,2;949,9;1457,3;26,9;22,4;27;26,2;22,8;21,9;79;76;76;37;5,1;,7;
2024/01/01;1500 UTC;0;949,4;949,9;949,4;1242,8;25,3;21,5;27,7;25,3;22,9;21,2;80;73;80;161;5;2,3;
2024/01/01;1600 UTC;0;947,9;949,4;947,9;2087,2;27,2;22,6;27,4;25,3;23,5;21,6;82;76;76;162;5,8;1,8;
2024/01/01;1700 UTC;0;948,1;948,1;947,8;1629,3;24,9;18,8;27,9;24,9;23;18,8;77;68;69;76;10,3;2,6;
2024/01/01;1800 UTC;0;947,3;948,1;947,3;535,4;23,3;20,5;24,8;22,5;20,5;18,6;85;69;84;23;10,3;3,3;
2024/01/01;1900 UTC;0;946,4;947,3;946,3;563,8;24;20,5;24;23,1;20,8;20,2;84;81;81;243;5,8;0;
2024/01/01;2000 UTC;0;946;946,4;946;398,4;24,3;21;24,3;23,9;21;20,4;82;81;82;302;1,1;0;
2024/01/01;2100 UTC;0;946,2;946,2;946,1;216,4;23,8;20,8;24,5;23,8;21,1;20,5;84;81;83;53;2,6;0;
2024/01/01;2200 UTC;0;946,8;946,8;946,2;16,7;22,9;20,5;23,8;22,9;20,9;20,5;86;83;86;17;1,3;0;
2024/01/01;2300 UTC;0;948,1;948,1;946,8;;23,3;21;23,3;22,8;21;20,4;87;86;87;70;3,1;1,8;
2024/01/02;0000 UTC;0;948,5;948,5;948,1;;23,1;20,9;23,3;23;21,1;20,9;88;87;88;33;3,1;,3;
2024/01/02;0100 UTC;0;949,2;949,2;948,5;;23;20,9;23,2;23;21,1;20,9;88;88;88;31;0;0;
2024/01/02;0200 UTC;0;949;949,3;949;;23,1;21;23,1;23;21;20,9;88;88;88;85;,9;0;
2024/01/02;0300 UTC;0;948,3;949;948,3;;23;21,1;23,1;23;21,1;21;89;88;89;82;1,8;0;
2024/01/02;0400 UTC;0;947,7;948,3;947,7;;23,1;21,2;23,1;23;21,2;21,1;89;89;89;90;1,6;0;
2024/01/02;0500 UTC;0;947;947,7;947;;23,2;21,4;23,2;23,1;21,4;21,2;90;89;90;137;1,7;,1;
2024/01/02;0600 UTC;0;947;947;947;;23,1;21,4;23,2;23,1;21,4;21,3;90;90;90;52;1,5;,1;
2024/01/02;0700 UTC;0;947;947,1;946,9;;23,1;21,4;23,1;23;21,4;21,4;90;90;90;71;1,6;0;
