REGIAO:;SE
UF:;MG
ESTACAO:;BURITIS
CODIGO (WMO):;A544
LATITUDE:;-15,52416666
LONGITUDE:;-46,43555555
ALTITUDE:;894
DATA DE FUNDACAO:;19/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;910,2;910,2;909,7;;22,8;19,5;23,3;22,6;20,3;19,5;86;80;82;236;1,7;,5;
2024/01/01;0100 UTC;0;910,9;910,9;910,2;;22,3;19,4;22,8;22,2;19,6;19,3;85;81;84;236;2,7;,6;
2024/01/01;0200 UTC;0;911,4;911,4;910,9;;22,2;19,4;22,4;22;19,4;19,2;85;83;84;236;2,4;,6;
2024/01/01;0300 UTC;0;911,1;911,5;911,1;;22,5;19;22,7;22,2;19,4;19;84;80;81;236;3,5;2,1;
2024/01/01;0400 UTC;0;910,7;911,1;910,7;;22,4;19;22,6;22,3;19,1;19;82;80;81;236;3,6;2,3;
2024/01/01;0500 UTC;0;910,2;910,7;910,2;;22,5;19;22,5;22,1;19,1;19;83;80;80;236;3,6;2,2;
2024/01/01;0600 UTC;0;909,7;910,2;909,7;;21,6;18,8;22,5;21,6;19;18,8;84;80;84;236;4,2;2,2;
2024/01/01;0700 UTC;0;909,2;909,7;909,2;;21,2;18,5;21,6;21,1;18,9;18,5;86;84;84;236;3,1;1,8;
2024/01/01;0800 UTC;0;909,6;909,6;909,1;;20,5;18;21,2;20,5;18,5;17,9;85;83;85;236;2,9;,1;
2024/01/01;0900 UTC;0;909,8;909,8;909,5;11,2;20,6;18,5;21;20,5;18,6;18;88;85;88;236;3,4;1,2;
2024/01/01;1000 UTC;0;910,5;910,5;909,8;270,8;22,3;19,4;22,3;20,6;19,6;18,5;89;83;84;236;1,8;0;
2024/01/01;1100 UTC;0;911,2;911,2;910,5;876,1;23,7;19,9;23,7;22,3;20;19;85;75;79;236;2,9;1,7;
2024/01/01;1200 UTC;0;911,5;911,6;911,2;1372,8;24,9;18,7;25,2;23,6;20,1;18,2;79;69;69;236;2,6;,3;
2024/01/01;1300 UTC;0;911,6;911,7;911,5;1013,9;23,4;19,6;25,6;23,3;19,9;18,7;80;66;79;236;3,6;1,6;
2024/01/01;1400 UTC;0;910,9;911,6;910,9;846,3;24,3;20,2;24,3;23;20,4;19,4;83;76;78;236;3,6;0;
2024/01/01;1500 UTC;0;910,2;911;910,1;1337,1;25;20,9;25;24;21,4;19,3;82;73;78;236;3,3;1,3;
2024/01/01;1600 UTC;,4;909;910,3;909;1033,5;23,7;20,5;24,9;22,6;21,7;18,9;89;74;82;236;5,2;2,2;
2024/01/01;1700 UTC;0;908;909;907,8;3176;27,2;20,8;27,2;23,8;22,3;20,2;83;67;68;236;3,5;1,3;
2024/01/01;1800 UTC;0;907,9;908;907,5;1798,1;24,9;20,1;27,3;24,9;22,1;19,2;75;67;75;236;4,8;1,6;
2024/01/01;1900 UTC;,4;908;908,2;907,7;155;22,1;20,2;24,9;22,1;20,3;19,5;89;74;89;236;6,3;,9;
2024/01/01;2000 UTC;,2;907,4;908;907,3;119,8;22;20,3;22,2;21,6;20,4;19,9;91;88;90;236;5;1,6;
2024/01/01;2100 UTC;0;907,9;908;907,4;341,7;22,3;20,2;22,8;22;20,7;19,9;90;85;88;236;4,5;1,6;
2024/01/01;2200 UTC;0;907,9;908,1;907,9;47,9;21,5;19,9;22,3;21,5;20,3;19,9;91;88;91;236;3,8;,3;
2024/01/01;2300 UTC;0;909,3;909,3;907,9;;21,7;19,8;21,8;21,4;20,2;19,8;91;89;89;236;2,6;,5;
2024/01/02;0000 UTC;0;909,8;909,8;909,3;;21,8;20,2;21,8;21,6;20,2;19,8;91;89;91;236;2;,1;
2024/01/02;0100 UTC;24;910,6;910,7;909,8;1,7;19,5;18,4;21,9;19,1;20,4;18;93;87;93;236;7,6;2,6;
2024/01/02;0200 UTC;3;910,5;910,8;910,5;;20,7;19,5;20,7;19,5;19,6;18,4;93;93;93;236;5,2;2,7;
2024/01/02;0300 UTC;2;909,9;910,6;909,9;;20,7;19,6;20,8;20,6;19,7;19,5;93;93;93;236;5,2;2,8;
