REGIAO:;SE
UF:;MG
ESTACAO:;AGUAS VERMELHAS
CODIGO (WMO):;A549
LATITUDE:;-15,75166666
LONGITUDE:;-41,45777777
ALTITUDE:;754,07
DATA DE FUNDACAO:;09/09/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;928,4;928,4;928;;21,3;20,2;22;21,3;20,5;20,2;93;91;93;258;2;1;
2024/01/01;0100 UTC;;929;929;928,4;;20,9;20;21,3;20,9;20,3;20;95;93;95;258;2,1;,5;
2024/01/01;0200 UTC;;929,4;929,5;929;;21;20,2;21,3;20,9;20,4;20;95;95;95;18;2,7;0;
2024/01/01;0300 UTC;;929,1;929,4;929,1;;20,7;19,9;21,1;20,7;20,3;19,9;95;95;95;266;,9;,1;
2024/01/01;0400 UTC;;928,6;929,1;928,5;;20,8;20;20,9;20,7;20,1;19,9;95;95;95;114;1,5;,1;
2024/01/01;0500 UTC;;928,5;928,6;928,4;;20,2;19,5;20,8;20,2;19,9;19,4;96;95;96;214;1,8;0;
2024/01/01;0600 UTC;;928,4;928,5;928,3;;19,9;19,2;20,3;19,8;19,6;19,1;96;96;96;129;1,3;,6;
2024/01/01;0700 UTC;;928,3;928,5;928,3;;20,8;19,7;20,9;19,9;20,1;19,2;96;94;94;95;3;1,3;
2024/01/01;0800 UTC;;928,6;928,6;928,2;;20,6;19,2;21;20,6;19,7;19,1;94;90;92;99;2,9;1,5;
2024/01/01;0900 UTC;;929,2;929,2;928,6;71,9;20,5;19,4;20,6;20,1;19,5;19,1;95;92;93;95;2,7;1,5;
