REGIAO:;SE
UF:;MG
ESTACAO:;OLIVEIRA
CODIGO (WMO):;A570
LATITUDE:;-20,715
LONGITUDE:;-44,86444444
ALTITUDE:;1025
DATA DE FUNDACAO:;19/10/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;901,6;901,6;901,3;2,1;19,9;17,5;20,3;19,9;17,9;17,4;88;85;86;89;7,2;3,7;
2024/01/01;0100 UTC;0;902,3;902,3;901,5;0;19,4;17,1;19,9;19,3;17,4;17,1;88;86;87;121;6,2;3,1;
2024/01/01;0200 UTC;,2;902,9;902,9;902,3;;19,1;17;19,4;19;17,1;16,9;89;85;88;69;5,8;2,3;
2024/01/01;0300 UTC;8,8;902,6;903,1;902,5;;18,7;17,2;19,1;18,5;17,3;17;92;88;91;108;3,8;1,9;
2024/01/01;0400 UTC;,4;901,8;902,6;901,7;;18,5;16,9;18,8;18,5;17,2;16,9;91;90;90;109;5,9;3,1;
2024/01/01;0500 UTC;,2;901,2;901,8;901,1;;18,4;16,8;18,5;18,4;16,9;16,7;91;89;91;94;7,9;3,1;
2024/01/01;0600 UTC;,2;900,8;901,2;900,7;;18,1;16,7;18,4;18,1;16,8;16,6;92;90;92;143;4,9;2,3;
2024/01/01;0700 UTC;0;900,8;900,8;900,5;;17,8;16,2;18,2;17,8;16,7;16,2;92;90;90;121;5,1;2,9;
2024/01/01;0800 UTC;0;901,1;901,1;900,7;;17,8;16,1;17,9;17,7;16,2;16;90;90;90;128;4,6;3,4;
2024/01/01;0900 UTC;0;901,3;901,3;900,8;11,5;17,9;16;17,9;17,7;16,1;16;90;89;89;121;5,8;3,6;
2024/01/01;1000 UTC;0;901,6;901,7;901,3;122,3;18;16,2;18;17,8;16,3;16;90;89;89;98;6,4;3,8;
2024/01/01;1100 UTC;0;902,1;902,1;901,6;264,3;18,3;16,5;18,3;18;16,5;16,2;90;89;89;112;5,9;3,4;
2024/01/01;1200 UTC;0;902,3;902,3;902,1;546,9;18,9;16,8;18,9;18,3;17;16,5;90;88;88;109;6;3,4;
2024/01/01;1300 UTC;,2;902,3;902,3;902,2;864,3;19,7;17,7;19,9;18,9;17,8;16,8;88;84;88;66;5,3;1,9;
2024/01/01;1400 UTC;1,4;902,3;902,5;902,3;772,9;19,5;17,9;19,8;19,2;17,9;17,2;90;86;90;56;5,1;3;
2024/01/01;1500 UTC;,2;901,8;902,3;901,8;969,8;20,1;18,2;20,2;19,4;18,5;17,5;91;88;89;77;4,4;2,6;
2024/01/01;1600 UTC;0;901,2;901,8;901,2;1192,6;21,1;18,4;21,1;20;19,1;17,7;90;84;84;76;5,1;2,8;
2024/01/01;1700 UTC;0;900,5;901,2;900,5;1478,5;21,5;18,5;22,2;21,1;19;17,6;85;79;83;108;5,2;2,3;
2024/01/01;1800 UTC;0;899,8;900,5;899,7;1402,5;22,4;17,9;22,6;21,5;19,2;17,7;84;74;75;103;7,1;2,3;
2024/01/01;1900 UTC;0;899,4;899,8;899,4;566,1;22;18,5;22,6;22;18,8;17,6;82;74;81;122;4,9;2,5;
2024/01/01;2000 UTC;0;899,6;899,6;899,4;421,5;21,7;18,3;22,1;21,7;18,8;18,1;82;79;81;109;6,1;3,3;
2024/01/01;2100 UTC;0;899,9;899,9;899,5;196,9;20,7;17,8;21,7;20,7;18,2;17,8;84;80;83;100;8;3,2;
2024/01/01;2200 UTC;0;900,3;900,4;899,9;34,2;20,3;17,5;20,7;20,3;17,9;17,5;84;83;84;113;5,6;2,9;
2024/01/01;2300 UTC;0;900,7;900,8;900,3;;19,9;17,4;20,3;19,9;17,5;17,3;86;84;85;88;5,4;3,3;
2024/01/02;0000 UTC;0;901,2;901,2;900,6;;19,7;17,3;20;19,7;17,4;17,3;87;85;86;130;5,7;2,4;
2024/01/02;0100 UTC;0;901,6;901,6;901;;19,2;17;19,7;19,2;17,3;17;87;86;87;128;6,4;4,1;
2024/01/02;0200 UTC;0;901,7;901,7;901,5;;18,8;16,9;19,2;18,8;17;16,9;89;87;89;128;5,9;3,2;
2024/01/02;0300 UTC;0;901,5;901,7;901,4;;18,8;16,9;18,9;18,7;16,9;16,8;89;88;89;113;5;2,9;
2024/01/02;0400 UTC;0;901;901,6;901;;18,8;16,7;18,8;18,7;16,8;16,7;89;88;88;104;5,1;2,3;
2024/01/02;0500 UTC;0;900,2;901;900,2;;18,5;16,4;18,8;18,5;16,7;16,4;88;87;88;90;5,6;3,1;
2024/01/02;0600 UTC;0;899,9;900,2;899,9;;18,3;16,5;18,5;18,3;16,5;16,4;89;88;89;101;4,1;2,7;
2024/01/02;0700 UTC;0;900;900,1;899,9;;18,2;16,5;18,3;18,2;16,5;16,5;90;89;90;106;3,9;2,4;
2024/01/02;0800 UTC;0;900,1;900,1;900;;18,1;16,4;18,2;18;16,5;16,4;90;90;90;114;3,5;2,3;
2024/01/02;0900 UTC;0;900,4;900,5;900,1;33,2;18,3;16,6;18,3;18;16,6;16,4;91;90;90;97;3,5;1,7;
2024/01/02;1000 UTC;0;900,9;900,9;900,4;445,2;19,4;17,1;19,5;18,3;17,3;16,6;90;86;86;57;2,6;1,6;
2024/01/02;1100 UTC;0;901,3;901,3;900,9;293,4;19,7;17,4;19,7;19,3;17,4;16,9;88;85;86;62;2,6;1,1;
2024/01/02;1200 UTC;,8;901,2;901,3;901,2;594,1;20;17,8;20,1;19,7;18,1;17,2;89;85;87;98;3,7;1,6;
2024/01/02;1300 UTC;0;901,2;901,4;901,2;1035;21,8;18,5;21,8;20;18,7;17,8;89;81;81;19;3,4;1,5;
2024/01/02;1400 UTC;0;900,9;901,2;900,9;1664,6;22,6;18,3;22,7;21,4;19;17,4;82;77;77;46;5,8;3,3;
2024/01/02;1500 UTC;0;900,2;900,9;900,2;2221;23,2;19,4;23,2;22,4;19,4;17,7;81;74;79;30;6,6;3,8;
2024/01/02;1600 UTC;0;899,4;900,2;899,4;3602,3;24,5;19,1;24,6;22,7;20,2;18,2;79;69;72;37;8,5;3,4;
2024/01/02;1700 UTC;,2;898,8;899,4;898,8;2158,5;23,8;19;24,8;23,7;19,5;18,1;76;67;75;19;6,8;3,7;
2024/01/02;1800 UTC;0;898,3;898,8;898,3;1197,6;23,5;18,8;24,9;23,5;19,2;18,1;75;67;75;324;6;2,5;
2024/01/02;1900 UTC;0;897,8;898,3;897,8;1232,7;24;18,6;24,3;22,8;20,2;18,2;83;69;72;13;4,6;1,8;
2024/01/02;2000 UTC;0;897,7;897,9;897,6;616,9;23,2;18,5;24,1;23,2;19,1;17,4;77;68;75;28;3,7;2,3;
2024/01/02;2100 UTC;0;898,1;898,1;897,7;256,1;23,2;18,9;23,2;23,1;19,4;18,3;80;74;77;118;3,2;,4;
2024/01/02;2200 UTC;,2;899;899;898,1;28;20,6;18,5;23,2;20,6;19,2;18,3;88;74;88;102;5,4;2,9;
2024/01/02;2300 UTC;,4;899,4;899,5;898,9;;20;18,6;20,6;20;18,6;18,5;92;88;92;119;6,1;4,1;
2024/01/03;0000 UTC;1;900,3;900,3;899,4;;20,1;18,8;20,3;19,9;18,9;18,5;92;92;92;97;5,6;2,5;
2024/01/03;0100 UTC;,2;900,5;900,5;900,3;;20;18,6;20,2;20;18,8;18,6;92;91;92;122;4,2;2;
2024/01/03;0200 UTC;0;900,3;900,5;900,3;;20;18,7;20;19,9;18,7;18,6;92;92;92;69;3,9;1,7;
2024/01/03;0300 UTC;2;899,8;900,3;899,8;;19,9;18,6;20,1;19,9;18,8;18,6;92;92;92;80;3,8;2,1;
2024/01/03;0400 UTC;,4;899,5;899,8;899,5;;19,9;18,7;20;19,8;18,7;18,6;93;92;93;117;3;,6;
2024/01/03;0500 UTC;,2;898,9;899,5;898,9;;19,8;18,6;19,9;19,8;18,7;18,6;93;93;93;111;2,8;1,9;
2024/01/03;0600 UTC;1,2;898,7;898,9;898,7;;19,8;18,6;19,9;19,7;18,8;18,6;93;93;93;94;2,9;1,5;
2024/01/03;0700 UTC;0;898,7;898,7;898,6;;19,7;18,5;19,8;19,7;18,6;18,5;93;93;93;130;2,9;1,4;
