REGIAO:;SE
UF:;RJ
ESTACAO:;SAQUAREMA - SAMPAIO CORREIA
CODIGO (WMO):;A667
LATITUDE:;-22,8711111
LONGITUDE:;-42,60888888
ALTITUDE:;26
DATA DE FUNDACAO:;02/09/15
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1014,9;1014,9;1014,7;;23,3;17,8;23,7;23,2;18,6;17,8;75;71;71;20;4;1,7;
2024/01/01;0100 UTC;0;1015,1;1015,1;1014,9;;23,5;13,8;23,6;23,2;17,6;13,8;71;55;55;11;5,5;2,3;
2024/01/01;0200 UTC;0;1014,8;1015,1;1014,8;;23,5;14,5;24;23,3;14,5;13,1;57;51;57;31;5,5;1,2;
2024/01/01;0300 UTC;0;1014,5;1014,8;1014,3;;21,4;17,1;23,5;21,3;17,2;14,7;77;57;77;240;3,1;,9;
2024/01/01;0400 UTC;0;1014,2;1014,5;1014,2;;21,2;17,8;21,4;21,1;17,8;16,8;82;76;81;243;2;,3;
2024/01/01;0500 UTC;0;1013,6;1014,2;1013,6;;21,1;17,7;21,3;21,1;17,8;17,1;81;77;81;208;2,5;1,6;
2024/01/01;0600 UTC;0;1013;1013,6;1013;;20,5;17,8;21,2;20,5;17,9;17,3;85;78;84;253;2,4;,5;
2024/01/01;0700 UTC;0;1013;1013;1012,8;;20,7;18,1;20,7;20,2;18,2;17,8;88;84;85;255;2,5;,8;
2024/01/01;0800 UTC;0;1013,3;1013,3;1012,9;;20,8;18,8;20,8;20,5;18,8;18,2;89;85;88;247;1,9;,7;
2024/01/01;0900 UTC;0;1013,7;1013,7;1013,3;86,2;21,3;19,1;21,3;20,8;19,1;18,7;88;87;87;280;2,4;,5;
