REGIAO:;SE
UF:;SP
ESTACAO:;SAO PAULO - MIRANTE
CODIGO (WMO):;A701
LATITUDE:;-23,49638888
LONGITUDE:;-46,61999999
ALTITUDE:;785,64
DATA DE FUNDACAO:;25/07/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;926,9;926,9;926,4;;19,5;15;19,9;19,4;15,2;14,5;76;71;75;161;8,8;3,4;
2024/01/01;0100 UTC;0;927,6;927,6;926,9;;19,3;14,8;19,6;19,3;15;14,7;76;74;75;156;8,8;3;
2024/01/01;0200 UTC;0;927,1;927,7;927,1;;19;14,6;19,4;19;14,9;14,6;76;75;75;151;8,1;3;
2024/01/01;0300 UTC;0;927,2;927,3;927;;19,2;13,8;19,2;19;14,6;13,7;75;71;71;150;6,7;2,1;
2024/01/01;0400 UTC;0;926,3;927,2;926,3;;18,9;13,4;19,2;18,8;13,8;13,3;71;69;70;143;6,3;2,2;
2024/01/01;0500 UTC;0;926;926,4;926;;18,5;13;18,9;18,4;13,4;12,9;71;69;70;139;5,4;2,7;
2024/01/01;0600 UTC;0;925,6;926,1;925,6;;18,7;12,9;18,7;18,5;13,1;12,8;70;68;69;133;5,7;2,1;
2024/01/01;0700 UTC;0;925,3;925,6;925,2;;18,7;13,1;18,8;18,7;13,1;12,7;70;68;70;126;6;2,7;
2024/01/01;0800 UTC;0;925,6;925,7;925,3;;18,6;13,9;18,9;18,6;13,9;13;74;70;74;152;6,6;2,1;
2024/01/01;0900 UTC;0;925,6;925,8;925,6;47,6;18,5;14,3;18,6;18,4;14,3;13,9;77;74;77;128;6;1,8;
2024/01/01;1000 UTC;0;926;926;925,5;243,3;19;14,9;19;18,3;15,1;14,3;80;77;77;135;7,2;2,7;
2024/01/01;1100 UTC;0;926,1;926,1;926;962,3;21,2;14,4;21,4;18,9;15,6;14,4;77;65;65;130;7,9;2,9;
2024/01/01;1200 UTC;0;926,7;926,7;926,1;1282,7;21,7;14,7;21,8;20,9;15,1;14,2;67;64;64;149;7,2;3;
2024/01/01;1300 UTC;0;926,9;926,9;926,7;1729,3;22,5;14,6;22,9;21,3;15,4;14,5;66;61;61;123;8;3,1;
2024/01/01;1400 UTC;0;926,8;926,9;926,8;1678;24,3;15,4;24,4;22,4;15,9;14,6;63;58;58;129;7,1;1,7;
2024/01/01;1500 UTC;0;926,3;926,9;926,3;1607,1;23,7;15;24,4;23,1;15,8;14,5;61;56;58;146;6,5;2,4;
2024/01/01;1600 UTC;0;925,8;926,3;925,8;1847,2;24,6;15,7;25,5;23,7;16,9;15;62;55;58;155;5,4;2,5;
2024/01/01;1700 UTC;0;924,8;925,8;924,8;1237,1;24;16,2;24,9;23,7;16,6;15,4;62;57;62;195;6;2,4;
2024/01/01;1800 UTC;0;924,2;924,8;924,2;2086,3;25;16;26,5;24;17,5;15,6;63;54;58;167;6,2;1,7;
2024/01/01;1900 UTC;0;923,8;924,2;923,8;919,5;25,4;16,9;25,4;23,7;16,9;15,7;63;58;59;153;7,8;2;
2024/01/01;2000 UTC;0;923,8;923,8;923,7;908,5;23,8;16,1;25,8;23,7;16,8;15,6;62;55;62;168;6,6;1,9;
2024/01/01;2100 UTC;0;923,8;923,8;923,6;387;22,8;15,6;24,3;22,8;16,4;15,6;65;60;64;160;7,7;2,9;
2024/01/01;2200 UTC;0;924,1;924,1;923,8;66,4;22,2;16,1;22,8;22,1;16,2;15,7;69;64;68;159;7,7;1,6;
2024/01/01;2300 UTC;0;924,9;924,9;924,1;;21,5;16,1;22,2;21,5;16,4;16,1;71;68;71;169;6,1;2,3;
2024/01/02;0000 UTC;0;925,6;925,6;924,9;;20,8;16,1;21,5;20,8;16,3;16;74;71;74;169;6,1;2;
2024/01/02;0100 UTC;0;926,3;926,3;925,6;;20,7;16,1;20,9;20,7;16,2;16;75;74;75;169;5,8;1,9;
2024/01/02;0200 UTC;0;926,3;926,5;926,2;;20,7;16;20,8;20,5;16,2;16;76;74;75;152;6,4;1,8;
2024/01/02;0300 UTC;0;925,7;926,3;925,7;;20,3;15,8;20,7;20,3;16,1;15,8;76;75;76;138;5,7;2,2;
2024/01/02;0400 UTC;0;925;925,7;924,9;;20,2;15,9;20,3;20,1;16;15,8;77;76;77;130;5,8;2,1;
2024/01/02;0500 UTC;0;924,4;925;924,4;;19,9;15,9;20,2;19,9;16;15,8;78;77;78;141;6,3;2,4;
2024/01/02;0600 UTC;0;924,3;924,4;924,1;;19,9;16;19,9;19,8;16;15,9;78;78;78;138;5,4;1,6;
2024/01/02;0700 UTC;0;923,8;924,3;923,7;;19,7;15,8;19,9;19,7;16;15,7;78;77;78;124;6,5;1,8;
2024/01/02;0800 UTC;0;924;924;923,7;;19,6;15,7;19,7;19,4;15,9;15,6;80;78;78;104;8;2,4;
2024/01/02;0900 UTC;0;924,3;924,3;923,9;31,6;19,5;15,4;19,6;19,4;15,7;15,4;78;77;78;125;7,5;2,9;
2024/01/02;1000 UTC;0;924,8;924,8;924,2;277,7;20;15,7;20;19,4;15,9;15,4;79;76;76;108;6,8;1,6;
2024/01/02;1100 UTC;0;924,8;924,8;924,6;1392,9;22,4;15,8;22,5;20;16,6;15,5;76;66;66;125;5,7;1,9;
2024/01/02;1200 UTC;0;924,7;924,8;924,7;2442,8;23,9;14,7;25,7;22,4;17,1;14,7;66;55;56;118;4,2;1,6;
2024/01/02;1300 UTC;0;924,3;924,7;924,3;2731,6;25,5;16,1;26,4;23,2;17,4;14,8;64;54;56;22;4,1;1;
2024/01/02;1400 UTC;0;923,7;924,3;923,7;3437;27,7;17;28,2;24,9;18;15,6;60;50;52;202;4,7;,7;
2024/01/02;1500 UTC;0;923,2;923,7;923,2;1863,3;26,4;16;28,5;26,4;17,3;15,4;54;48;53;244;4,4;1,4;
2024/01/02;1600 UTC;0;922,7;923,2;922,7;3068,6;29;15,8;29,8;26,4;17,7;15,4;55;43;45;174;5,2;1,8;
2024/01/02;1700 UTC;0;922,1;922,7;922,1;1951,8;30,9;19;30,9;27,5;19;14,8;52;43;49;194;6,4;1,7;
2024/01/02;1800 UTC;0;921,7;922,1;921,7;1437,3;26,7;17,5;30,9;26,6;18,1;16,5;57;44;57;223;8,1;3,6;
2024/01/02;1900 UTC;,2;922,1;922,1;921,7;731;23,3;17,6;26,7;23;18;17;72;57;70;186;10,6;2,8;
2024/01/02;2000 UTC;0;922,2;922,2;922;439;23,4;16,7;23,7;23,3;17,6;16,6;70;66;66;209;7,4;2,9;
2024/01/02;2100 UTC;0;922,4;922,5;922,1;366,6;22,7;16,3;23,4;22,7;16,8;16,3;68;66;67;202;6,9;2,7;
2024/01/02;2200 UTC;0;923,1;923,1;922,4;106,2;21,8;16,5;22,7;21,8;16,6;16,3;72;67;72;195;6;2;
2024/01/02;2300 UTC;0;923,6;923,8;923,1;;21,3;16,5;21,8;21,2;16,6;16,4;74;72;74;172;5,2;1,2;
2024/01/03;0000 UTC;0;924;924,1;923,6;;21,2;16,4;21,4;21;16,6;16,1;74;73;74;149;6,1;2,2;
2024/01/03;0100 UTC;0;924;924,1;923,9;;21,2;16,2;21,2;21;16,5;15,9;74;72;73;142;7;2,7;
2024/01/03;0200 UTC;0;924;924,1;924;;20,9;16,6;21,2;20,9;16,7;16,2;77;73;76;132;5,9;2,7;
2024/01/03;0300 UTC;0;923,5;924;923,5;;20,8;16,7;20,9;20,7;16,7;16,6;77;76;77;127;7,9;3,1;
2024/01/03;0400 UTC;0;922,8;923,5;922,8;;20,9;17,2;20,9;20,7;17,2;16,7;79;77;79;129;7,9;2,3;
2024/01/03;0500 UTC;0;922,4;922,8;922,4;;20,9;17,3;21;20,9;17,4;17,2;80;79;80;111;5,5;1,5;
2024/01/03;0600 UTC;0;922,1;922,5;922,1;;20,6;17,4;21;20,5;17,4;17,3;82;80;82;128;5;1,3;
2024/01/03;0700 UTC;0;922,1;922,2;921,9;;20,4;17,5;20,5;20,3;17,6;17,3;83;82;83;103;4,4;,7;
2024/01/03;0800 UTC;0;921,9;922,2;921,8;;20,3;17,6;20,5;20,3;17,6;17,4;84;83;84;109;6,1;1,4;
2024/01/03;0900 UTC;0;922,6;922,6;921,9;42,9;20,6;17,9;20,6;20,2;17,9;17,5;85;84;84;114;4;1;
2024/01/03;1000 UTC;0;922,6;922,7;922,5;495,2;21,8;18;21,8;20,6;18,3;17,8;84;79;79;94;4;1,8;
2024/01/03;1100 UTC;0;923;923;922,6;1244,4;24,5;17,9;24,8;21,6;19,2;17,8;80;67;67;150;4;,7;
2024/01/03;1200 UTC;0;923,2;923,3;923;1883,9;26;18,3;26,1;24,3;18,8;17,6;68;62;63;88;2,4;,8;
2024/01/03;1300 UTC;0;923,3;923,3;923,2;2285,8;26,8;18;27,6;26;19,1;17,6;63;58;59;353;5,3;2,6;
2024/01/03;1400 UTC;0;922,8;923,3;922,8;2685,5;28;17,8;28,8;26,8;18,9;17,4;59;52;54;317;5,3;1,9;
