REGIAO:;SE
UF:;SP
ESTACAO:;LINS
CODIGO (WMO):;A727
LATITUDE:;-21,66611111
LONGITUDE:;-49,73472221
ALTITUDE:;460,65
DATA DE FUNDACAO:;20/09/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;960,2;960,2;959,4;;26,5;19,4;28,5;26,5;19,4;17,4;65;51;65;321;4,8;1,2;
2024/01/01;0100 UTC;;961;961;960,2;;25,8;20;26,5;25,6;20,3;19,4;72;65;71;236;5,2;1,7;
2024/01/01;0200 UTC;;961,4;961,4;961;;25,1;20,3;25,8;25,1;20,5;20;75;70;75;35;5,2;,1;
2024/01/01;0300 UTC;;961,5;961,6;961,4;;25,5;16,9;26,1;25,1;20,4;16,8;75;57;59;161;4,2;1,4;
2024/01/01;0400 UTC;;960,4;961,5;960,4;;24,4;16,5;25,5;24,4;16,9;16,3;61;58;61;147;5,8;3;
2024/01/01;0500 UTC;;960,2;960,4;960,2;;23,4;16,8;24,4;23,4;16,8;16,4;66;61;66;158;6,1;2,4;
2024/01/01;0600 UTC;;959,6;960,2;959,6;;22,6;16,9;23,4;22,6;16,9;16,7;70;66;70;154;5,3;2,4;
2024/01/01;0700 UTC;;959,4;959,6;959,4;;22,2;16,9;22,6;22,2;17;16,8;72;70;72;163;5,7;1,9;
2024/01/01;0800 UTC;;959,7;959,8;959,3;;21,7;16,8;22,2;21,7;17;16,8;74;72;74;160;5,5;2,6;
2024/01/01;0900 UTC;;960,4;960,4;959,7;29,8;21,6;16,7;21,7;21,5;16,8;16,6;74;73;74;155;5,6;2,6;
2024/01/01;1000 UTC;;960,9;960,9;960,3;276,2;22;16,7;22;21,5;16,9;16,6;74;72;72;149;5,8;2,6;
2024/01/01;1100 UTC;;961,4;961,4;960,9;962,2;23,3;16,8;23,5;21,9;17,1;16,6;72;67;67;138;6,4;3,2;
2024/01/01;1200 UTC;;961,7;961,7;961,4;1887,6;24,7;17,3;25,1;23,3;17,8;16,8;68;62;63;138;6,1;2,9;
2024/01/01;1300 UTC;;961,9;961,9;961,6;2138,3;26,2;18,2;26,6;24,7;18,4;17,2;64;59;62;83;6,1;1,8;
2024/01/01;1400 UTC;;961,5;961,9;961,5;2390,9;27,6;18,8;27,6;26,2;18,9;17,8;62;58;59;32;4,6;1,8;
2024/01/01;1500 UTC;;960,8;961,5;960,8;2772,4;29,2;19,9;29,2;27;19,9;18,1;61;55;57;65;4,6;1,5;
2024/01/01;1600 UTC;;959,7;960,8;959,7;3357,7;30,2;19,1;30,2;28,3;19,9;18,3;58;50;51;107;5,1;1,9;
2024/01/01;1700 UTC;;958,3;959,7;958,3;3713;31,3;18,1;31,8;29,8;19,3;17,4;52;45;45;113;5,9;1,5;
