REGIAO:;SE
UF:;SP
ESTACAO:;CASA BRANCA
CODIGO (WMO):;A738
LATITUDE:;-21,78055554
LONGITUDE:;-47,07527777
ALTITUDE:;734,15
DATA DE FUNDACAO:;25/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;931,2;931,2;930,2;;23,5;19,6;23,7;23,2;19,7;19,5;80;78;78;218;3,6;1,8;
2024/01/01;0100 UTC;;931,9;931,9;931,2;;22,7;19,1;23,5;22,7;19,6;19,1;81;78;80;300;3,5;1,4;
2024/01/01;0200 UTC;;931,9;932,3;931,9;;23;19,2;23,2;22,7;19,2;19;80;77;79;184;2,6;,5;
2024/01/01;0300 UTC;;931,8;931,9;931,6;;22,8;19,3;23;22,7;19,4;19,2;81;79;81;254;1,6;,1;
2024/01/01;0400 UTC;;931,4;931,9;931,4;;22,7;19,2;22,9;22,6;19,4;19,1;81;79;81;205;1,9;,2;
2024/01/01;0500 UTC;;931,3;931,5;931,2;;21,8;19;22,9;21,6;19,4;18,7;84;80;84;145;2,1;,6;
2024/01/01;0600 UTC;;930,9;931,3;930,9;;20,9;18,3;22,1;20,9;19,1;18,3;85;81;85;75;2,4;,8;
2024/01/01;0700 UTC;;930,4;930,9;930,3;;20,8;18,2;20,9;20,4;18,4;18;87;85;85;141;2,5;,3;
2024/01/01;0800 UTC;;930,6;930,7;930,4;;19,9;17,9;20,8;19,8;18,2;17,7;88;85;88;14;2,3;,2;
2024/01/01;0900 UTC;;930,8;930,9;930,6;16,8;20,7;18,2;20,7;19,9;18,2;17,9;89;86;86;128;1,3;0;
