REGIAO:;SE
UF:;SP
ESTACAO:;BARRA DO TURVO
CODIGO (WMO):;A746
LATITUDE:;-24,96277777
LONGITUDE:;-48,41638888
ALTITUDE:;659,89
DATA DE FUNDACAO:;03/07/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;1,4;942,3;942,3;941,8;;18;17,9;18,1;18;18,1;17,9;100;99;99;314;2,6;,7;
2024/01/01;0100 UTC;1,2;942,5;942,5;942;;18,1;18,1;18,1;18;18,1;17,9;100;99;100;296;2,6;,2;
2024/01/01;0200 UTC;,8;942,6;942,8;942,5;;18;18;18,2;18;18,2;18;100;100;100;277;1,3;,1;
2024/01/01;0300 UTC;,6;942,3;942,7;942,3;;18;18;18,1;18;18,1;18;100;100;100;235;2,1;,8;
2024/01/01;0400 UTC;,8;942;942,3;941,9;;18;18;18,2;18;18,2;18;100;100;100;317;2,2;0;
2024/01/01;0500 UTC;,4;941,6;942;941,5;;17,1;17,1;18;17,1;18;17,1;100;100;100;11;1,4;0;
2024/01/01;0600 UTC;,2;940,9;941,6;940,9;;17,2;17,2;17,3;17;17,3;17;100;100;100;213;1;0;
2024/01/01;0700 UTC;,2;941;941;940,8;;17,6;17,6;17,7;17,1;17,7;17,1;100;100;100;100;1;0;
2024/01/01;0800 UTC;,2;940,9;941,1;940,8;;17,5;17,5;17,8;17,5;17,8;17,5;100;100;100;301;1;0;
2024/01/01;0900 UTC;0;941,1;941,2;940,8;15,8;17,7;17,7;17,7;17,2;17,7;17,2;100;100;100;168;1,1;0;
2024/01/01;1000 UTC;,4;941,5;941,5;941,1;194,5;18,7;18,7;18,7;17,7;18,7;17,7;100;100;100;252;1,6;,3;
2024/01/01;1100 UTC;0;941,9;941,9;941,5;904,6;20,3;19,2;20,4;18,7;19,8;18,8;100;93;93;241;3,2;,8;
2024/01/01;1200 UTC;0;942,1;942,2;941,9;1165,9;20,9;18,2;22,1;20,3;19,8;17,7;93;79;85;246;5;1,9;
2024/01/01;1300 UTC;0;942,1;942,2;942;1783,3;23,6;19,5;23,6;20,6;20;17,8;89;75;78;231;4,7;1,1;
2024/01/01;1400 UTC;0;942;942,1;941,9;1890,7;22,7;19,3;24,1;22,2;20,2;18,2;84;72;81;241;5,4;1;
2024/01/01;1500 UTC;0;941,4;942;941,4;2868,2;24,9;18,9;25,9;22,6;21,1;18;82;64;69;222;5,6;2;
2024/01/01;1600 UTC;0;940,8;941,4;940,8;2250,2;24,8;18,8;25,8;23,7;20,1;17,6;76;65;70;214;5,3;1,4;
2024/01/01;1700 UTC;0;940,1;940,8;940,1;2274,3;27;19,9;27;23,8;21,1;18,3;76;63;65;223;5,7;1,7;
2024/01/01;1800 UTC;0;939,5;940,1;939,5;2075,8;25,4;18,8;26,9;24;19,8;18,3;73;64;67;218;7;2,1;
2024/01/01;1900 UTC;0;939,1;939,6;939,1;1463,3;22,9;18,6;25,5;22,9;20;18;77;67;76;228;6,1;2;
2024/01/01;2000 UTC;0;939;939,2;939;672,7;22,6;18,5;22,9;22,2;19;18,1;80;75;78;245;5,8;2,1;
2024/01/01;2100 UTC;0;939,2;939,2;939;306,8;20,7;18;22,6;20,7;18,5;17,8;85;77;85;240;6,1;1,6;
2024/01/01;2200 UTC;0;939,9;939,9;939,2;74,2;19,3;17,4;20,7;19,3;18,1;17,4;89;85;89;242;4;1,5;
