REGIAO:;SE
UF:;SP
ESTACAO:;BARRETOS
CODIGO (WMO):;A748
LATITUDE:;-20,55916666
LONGITUDE:;-48,54499999
ALTITUDE:;534,36
DATA DE FUNDACAO:;19/06/10
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;951,8;951,8;951;;21,6;19,4;22,1;21,6;19,8;19,3;87;87;87;13;1,4;,6;
2024/01/01;0100 UTC;0;952,6;952,6;951,7;;21,7;19,6;21,7;21,6;19,6;19,3;88;87;88;21;1,3;,7;
2024/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0300 UTC;0;952;952,4;951,9;;21,9;19,8;22;21,8;19,9;19,7;88;88;88;89;1,4;,5;
2024/01/01;0400 UTC;0;952,1;952,2;952;;22,2;20,1;22,2;21,9;20,1;19,8;88;88;88;106;1,7;,8;
2024/01/01;0500 UTC;0;951,8;952,2;951,8;;22;19,9;22,3;22;20,2;19,9;88;88;88;95;2,3;1,1;
2024/01/01;0600 UTC;0;951,2;951,8;951,2;;22;19,9;22,1;21,9;20;19,9;88;88;88;100;2,3;,6;
2024/01/01;0700 UTC;0;950,8;951,2;950,8;;21,5;19,5;22;21,5;19,9;19,4;88;88;88;155;1,5;,2;
2024/01/01;0800 UTC;0;951,1;951,1;950,8;;21,4;19,3;21,5;21,3;19,5;19,3;88;88;88;227;1;,3;
2024/01/01;0900 UTC;0;951,3;951,3;951;10,4;21,7;19,7;21,7;21,3;19,7;19,3;88;88;88;33;1,4;,4;
