REGIAO:;SE
UF:;SP
ESTACAO:;ITUVERAVA
CODIGO (WMO):;A753
LATITUDE:;-20,35972222
LONGITUDE:;-47,77527777
ALTITUDE:;610,58
DATA DE FUNDACAO:;17/07/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;,2;943,2;943,2;942,7;;21,7;21,4;22,2;21,7;22,1;21,3;99;95;98;188;1,3;,5;
2024/01/01;0100 UTC;0;943,9;943,9;943,2;;21,8;;22;21,3;;;;;;290;1,6;1,1;
2024/01/01;0200 UTC;0;944,1;944,3;943,9;;21,4;;21,8;21,1;;;;;;87;1,7;,7;
2024/01/01;0300 UTC;0;943,5;944,1;943,5;;21,1;;21,4;21;;;;;;167;1,4;1;
2024/01/01;0400 UTC;0;943,3;943,5;943,3;;21,5;;21,5;21,1;;;;;;200;1,4;,8;
2024/01/01;0500 UTC;,2;943,2;943,5;943,2;;21,5;;21,7;21,4;;;;;;162;1,4;,6;
2024/01/01;0600 UTC;,2;942,7;943,2;942,7;;21,4;;21,6;21,4;;;;;;358;1,2;,3;
2024/01/01;0700 UTC;0;942,4;942,7;942,3;;21,5;;21,5;21,3;;;;;;74;1;,5;
2024/01/01;0800 UTC;0;942,5;942,6;942,4;;21,3;;21,5;21,3;;;;;;70;1,1;,5;
2024/01/01;0900 UTC;0;942,8;942,8;942,5;40,7;21,7;;21,7;21,3;;;;;;120;1,7;,8;
2024/01/01;1000 UTC;0;943,1;943,1;942,8;301,9;22,5;21,1;22,5;21,7;;;;;92;358;1,8;,5;
2024/01/01;1100 UTC;0;943,5;943,5;943,1;739,3;24,3;21,4;24,3;22,5;21,6;21,1;92;84;84;337;2,3;,9;
2024/01/01;1200 UTC;0;944,2;944,2;943,5;952;25,1;21,1;25,4;24,1;22,2;21;85;79;79;329;2,8;1,5;
2024/01/01;1300 UTC;0;944,5;944,6;944,2;893,5;25,8;21,2;25,9;24,6;22;21,1;83;76;76;322;3,8;,6;
2024/01/01;1400 UTC;0;944,4;944,6;944,4;1110,1;25,6;20,3;26,2;25,2;21,7;20,1;81;71;72;315;3,8;1,3;
2024/01/01;1500 UTC;0;943,4;944,4;943,3;1489,7;26,9;20,7;27,4;25,5;21,7;20,1;75;68;69;277;3;1,3;
2024/01/01;1600 UTC;0;942,7;943,4;942,7;1885,2;28,2;20;28,6;26,6;21,2;19,9;71;61;61;322;3,2;,6;
2024/01/01;1700 UTC;0;941,8;942,7;941,8;1394,7;27,6;21,3;28,3;27;22;19,9;73;61;69;187;3,8;2,2;
2024/01/01;1800 UTC;2,2;941,3;941,8;941,3;1242,9;23,6;21,8;28,7;23,6;22,3;20,4;90;63;89;334;6,2;2,6;
2024/01/01;1900 UTC;2,6;941,3;941,7;941,3;506,7;22,4;20,3;23,7;22,4;21,9;20,3;91;88;88;63;6,4;2,9;
2024/01/01;2000 UTC;,4;941,5;941,6;941,1;267,8;22;20,5;22,9;21,9;20,8;20,1;91;87;91;70;5,5;,7;
2024/01/01;2100 UTC;2,6;941;941,5;941;115,2;21,7;20,5;22;21,5;20,7;20,2;93;91;93;284;2,5;,4;
2024/01/01;2200 UTC;,4;941;941;940,7;72,2;21,7;20,7;21,9;21,6;20,9;20,4;94;92;94;151;3,2;2;
2024/01/01;2300 UTC;0;941,6;941,6;940,9;;21,9;20,7;21,9;21,5;20,9;20,3;94;92;93;123;3,8;1,5;
2024/01/02;0000 UTC;0;942,6;942,6;941,6;;22,1;20,9;22,1;21,8;20,9;20,5;93;92;93;144;2,6;,6;
2024/01/02;0100 UTC;,2;943,3;943,4;942,6;;22;20,8;22,3;22;21;20,7;93;92;93;169;3,2;,9;
2024/01/02;0200 UTC;0;943,3;943,5;943,3;;21,9;20,8;22,1;21,8;21;20,7;94;93;94;37;1,2;,3;
2024/01/02;0300 UTC;0;942,9;943,4;942,9;;21,8;20,8;21,9;21,7;21;20,7;94;94;94;261;1;,4;
2024/01/02;0400 UTC;0;942,1;942,9;942,1;;21,7;20,7;21,8;21,6;20,8;20,7;95;94;94;259;1,5;,3;
2024/01/02;0500 UTC;0;941,9;942,1;941,9;;21,1;20,3;21,7;21,1;20,7;20,2;95;94;95;158;1,8;1,2;
