REGIAO:;SE
UF:;SP
ESTACAO:;MARILIA
CODIGO (WMO):;A763
LATITUDE:;-22,235222
LONGITUDE:;-49,965111
ALTITUDE:;660
DATA DE FUNDACAO:;15/05/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;937,6;937,7;936,7;;25,9;14,1;26,3;25,9;14,3;13,8;49;46;48;153;6,2;2,3;
2024/01/01;0100 UTC;0;938,2;938,2;937,6;;24,9;14,6;25,9;24,8;14,7;14;53;48;53;151;7;1,5;
2024/01/01;0200 UTC;0;938,5;938,5;938,2;;23,5;15,3;25;23,5;15,4;14,5;60;52;60;144;6,1;1,5;
2024/01/01;0300 UTC;0;938,9;939;938,5;;23;15,6;23,6;23;15,6;15,2;63;60;63;107;7;1,9;
2024/01/01;0400 UTC;0;938,7;939;938,6;,1;22,2;15,8;23;22,2;15,9;15,5;68;63;67;110;5,7;2;
2024/01/01;0500 UTC;0;938,3;938,7;938,2;;21,2;15,7;22,2;21,2;15,9;15,6;71;67;71;131;6,3;2,4;
2024/01/01;0600 UTC;0;937,3;938,3;937,3;;20,7;15,9;21,2;20,7;15,9;15,7;74;71;74;118;5,1;2,7;
2024/01/01;0700 UTC;0;936,8;937,3;936,8;;20,2;16,2;20,7;20,2;16,3;15,9;78;74;78;146;6,8;2,5;
2024/01/01;0800 UTC;0;937,2;937,2;936,8;;19,3;16,2;20,2;19,3;16,3;16,2;82;78;82;152;6;1,7;
2024/01/01;0900 UTC;0;937,7;937,8;937,2;5,5;18,8;16;19,3;18,8;16,3;16;85;82;84;145;7,1;2,2;
2024/01/01;1000 UTC;0;937,9;937,9;937,5;286,3;19,6;16,3;19,6;18,8;16,3;16;84;81;81;149;8,4;2,3;
2024/01/01;1100 UTC;0;938,5;938,5;937,8;768,9;20,8;16,8;21;19,5;17,1;16,2;82;77;78;142;6,4;2,1;
