REGIAO:;S
UF:;PR
ESTACAO:;INACIO MARTINS
CODIGO (WMO):;A823
LATITUDE:;-25,567879
LONGITUDE:;-51,077946
ALTITUDE:;1208,85
DATA DE FUNDACAO:;16/10/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;881,4;881,4;880,6;;18,6;13,2;19,4;18,6;13,2;10,7;71;58;71;207;7,1;2,8;
2024/01/01;0100 UTC;0;882,1;882,1;881,4;;17,8;13,3;18,6;17,8;13,3;13,2;75;71;75;209;7;2,3;
2024/01/01;0200 UTC;0;882,5;882,7;882,1;;16,7;13,2;17,8;16,7;13,4;13,2;80;75;80;233;3,9;1,7;
2024/01/01;0300 UTC;0;882,3;882,5;882,2;;16,1;12,6;16,7;16,1;13,3;12,6;81;79;80;230;4,8;1,7;
2024/01/01;0400 UTC;0;881,7;882,3;881,7;;15,8;12,8;16,2;15,8;12,9;12,7;82;80;82;234;5,7;1,8;
2024/01/01;0500 UTC;0;881,6;881,8;881,6;;15,9;12,9;16;15,8;13;12,7;83;82;82;224;5,4;2,7;
2024/01/01;0600 UTC;0;881,2;881,7;881,2;;15,4;12,5;15,9;15,3;12,9;12,4;83;82;83;224;5,4;2,5;
2024/01/01;0700 UTC;0;881;881,3;881;,6;15,1;12,3;15,4;15,1;12,5;12,3;83;83;83;221;5,3;2,6;
2024/01/01;0800 UTC;0;881,1;881,2;881;,4;15,1;12,2;15,2;15;12,4;12,2;84;83;83;217;5,2;2,8;
2024/01/01;0900 UTC;0;881,3;881,4;881,1;40,6;15,5;12,4;15,5;15,1;12,4;12,1;83;82;82;223;5,7;2,4;
2024/01/01;1000 UTC;0;881,7;881,7;881,3;365,2;16,6;11,9;16,7;15,5;12,7;11,9;82;74;74;218;4,8;2,3;
2024/01/01;1100 UTC;0;882,3;882,3;881,7;739,7;16,7;12;17,4;16,6;12,8;11,7;76;71;74;220;5,5;2,8;
2024/01/01;1200 UTC;0;882,4;882,4;882,2;972,6;18,5;12,7;18,5;16,7;13,2;12;75;69;69;235;5;2,3;
2024/01/01;1300 UTC;0;882,5;882,6;882,4;1724,3;19,9;14;19,9;18,3;14;12;70;63;69;214;4,8;1,9;
2024/01/01;1400 UTC;0;882,2;882,5;882,2;2818,9;22,4;14,2;22,5;19,3;15,2;12,3;69;56;60;217;5,2;1,5;
2024/01/01;1500 UTC;0;881,8;882,2;881,8;3536,8;23;14,6;23,4;20,7;15,3;12,2;64;53;59;192;5,6;2,1;
2024/01/01;1600 UTC;0;881,4;881,8;881,4;3534,5;22,9;14,6;25,3;22,2;16;12,2;60;47;60;217;5,3;1,8;
2024/01/01;1700 UTC;0;880,5;881,4;880,5;3487;25,2;13,7;25,2;22,2;15,3;11,9;60;45;49;231;5,6;2,1;
2024/01/01;1800 UTC;0;879,8;880,5;879,8;3282,3;24,2;12,9;26,6;23,5;15,2;11,4;51;42;49;211;6,1;2,1;
2024/01/01;1900 UTC;0;878,9;879,8;878,9;1821,1;25,2;11,7;25,6;23,6;13,2;10,6;51;42;43;265;5,8;1,8;
2024/01/01;2000 UTC;0;878,7;879;878,7;1169,9;23,8;12;25,7;23;12,8;10,9;51;41;48;245;4,6;2,5;
2024/01/01;2100 UTC;0;878,5;878,7;878,4;1027,9;23,1;12,2;24,5;23,1;12,6;11,2;50;44;50;224;5,1;2,3;
2024/01/01;2200 UTC;0;879,2;879,2;878,5;77;19,9;12,4;23,1;19,9;12,4;11,7;62;50;62;244;4,5;1;
2024/01/01;2300 UTC;0;879,5;879,5;879,2;;18,6;12;19,9;18,5;12,6;12;66;62;66;241;2,3;1,3;
2024/01/02;0000 UTC;0;880,3;880,3;879,5;;19;11,6;19;18,2;12,2;11,5;67;62;62;236;3;1,7;
2024/01/02;0100 UTC;0;881,1;881,1;880,3;;18,7;11,4;19;18,5;11,5;11,3;63;62;63;233;3,6;1,6;
2024/01/02;0200 UTC;0;880,9;881,1;880,8;;17,9;13;18,8;17,9;13;11,1;73;62;73;229;6,2;2,7;
2024/01/02;0300 UTC;0;880,5;880,9;880,5;;17,3;13,4;18,1;17,3;13,5;13,1;78;73;78;219;7;3,2;
2024/01/02;0400 UTC;0;879,8;880,6;879,8;;16,8;13,5;17,3;16,8;13,5;13,4;81;78;81;200;6,2;2,8;
2024/01/02;0500 UTC;0;879,6;879,8;879,5;,4;16,5;13,5;16,8;16,5;13,5;13,4;82;81;82;202;5,9;2,7;
2024/01/02;0600 UTC;0;879,3;879,6;879,3;;16,3;13,5;16,5;16,3;13,5;13,5;84;82;84;193;5,7;3,1;
2024/01/02;0700 UTC;0;879,3;879,4;879;0;16;13,2;16,3;16;13,5;13,2;84;83;83;195;5,5;2,8;
2024/01/02;0800 UTC;0;879,6;879,7;879,3;;15,9;13;16;15,8;13,2;13;84;83;83;206;5,1;1,9;
2024/01/02;0900 UTC;0;879,4;879,6;879,3;71,6;15,9;13,1;15,9;15,7;13,1;12,9;83;83;83;226;4,1;2,1;
2024/01/02;1000 UTC;0;880,2;880,2;879,4;480,6;16,8;13,1;17;15,9;13,6;12,8;84;78;79;196;4,1;1,8;
2024/01/02;1100 UTC;0;880,1;880,3;880,1;901,7;17,7;12,5;17,8;16,8;13,5;12,5;79;72;72;199;4,8;2,5;
2024/01/02;1200 UTC;0;880;880,2;879,9;2442,5;20,1;13,7;20,3;17,7;14,3;12,5;73;64;67;212;5,3;3,4;
2024/01/02;1300 UTC;0;879,9;880,1;879,9;3176,5;22,4;13;22,5;19,7;14,3;12,1;67;55;55;216;5,1;2;
2024/01/02;1400 UTC;0;879,8;880;879,8;3767,6;23;14,3;23,4;21,6;14,9;12,4;61;53;58;178;6,2;2,9;
2024/01/02;1500 UTC;0;879;879,8;879;4098,3;23,5;13,6;24,9;22,8;14,9;12,8;59;51;54;157;5,8;2,9;
2024/01/02;1600 UTC;0;878,7;879;878,7;1890,9;21,6;12,7;24,7;21,6;15,1;12,5;60;48;57;295;5,8;2,3;
