REGIAO:;S
UF:;PR
ESTACAO:;GOIOERE
CODIGO (WMO):;A825
LATITUDE:;-24,18388888
LONGITUDE:;-53,04888888
ALTITUDE:;481
DATA DE FUNDACAO:;19/10/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;957,6;957,6;957,2;0;26,5;20,4;26,5;25,3;20,7;20,2;75;69;70;;;;
2024/01/01;0100 UTC;0;958,4;958,4;957,6;0;25,8;20,1;26,5;25,7;20,5;20;71;69;71;;;;
2024/01/01;0200 UTC;0;958,6;958,7;958,4;0;24,9;19,9;26,2;24,9;20,2;19,7;74;69;74;;;;
2024/01/01;0300 UTC;0;958,6;958,7;958,5;0;22,8;20,2;24,8;22,8;20,3;19,7;85;74;85;;;;
2024/01/01;0400 UTC;0;958,4;958,6;958,4;0;23,1;18,7;23,3;22;20,2;18,7;87;76;76;;;;
2024/01/01;0500 UTC;0;958,1;958,4;958,1;0;22,5;18;23,7;22,2;18,7;17,9;80;72;76;;;;
2024/01/01;0600 UTC;0;957,7;958,1;957,7;0;23,7;16,5;23,8;22;17,9;16,5;77;64;64;;;;
2024/01/01;0700 UTC;0;957,4;957,7;957,4;0;22,8;16,3;23,7;22,8;16,5;16,3;67;63;67;;;;
2024/01/01;0800 UTC;0;957,8;957,8;957,4;0;21,9;16,3;22,8;21,8;16,3;16,2;71;67;71;;;;
2024/01/01;0900 UTC;0;958;958;957,8;6;21;16,5;21,9;20,9;16,5;16,3;76;71;76;;;;
2024/01/01;1000 UTC;0;958,3;958,3;958;407,7;22,1;17,3;22,1;21;17,3;16,5;76;74;74;;;;
2024/01/01;1100 UTC;0;958,5;958,6;958,3;1265;24;17,6;24,1;22,1;18;17,2;74;68;68;;;;
2024/01/01;1200 UTC;0;958,8;958,8;958,5;2132,6;25;18,3;25,4;24;18,7;17,7;69;65;66;;;;
2024/01/01;1300 UTC;0;958,9;959;958,8;2900,6;27;18,7;27,3;25;19,5;18,1;67;59;61;;;;
2024/01/01;1400 UTC;0;958,8;958,9;958,7;3511;28,4;19,1;28,6;26,9;19,7;18,1;62;55;57;;;;
2024/01/01;1500 UTC;0;958,5;958,8;958,5;3878,8;30;20,3;30;28,2;20,5;18,5;59;54;56;;;;
2024/01/01;1600 UTC;0;958,1;958,5;958;3414,6;29,9;20,3;30,8;29,4;21,3;19,2;58;52;56;;;;
2024/01/01;1700 UTC;0;957,3;958,1;957,3;3576;30,7;19,9;31,6;29,9;21,3;19,6;58;50;53;;;;
2024/01/01;1800 UTC;0;956,2;957,3;956,2;3016,7;31,6;18,6;32,1;29,5;21,4;18,6;56;46;46;;;;
2024/01/01;1900 UTC;0;955,3;956,2;955,2;2490;31,9;20,2;33,2;29,8;20,7;18,2;53;46;50;;;;
2024/01/01;2000 UTC;0;954,6;955,3;954,5;1864,5;30,6;18,4;32,4;30,5;20,2;17,8;50;44;48;;;;
2024/01/01;2100 UTC;0;955;955;954,3;516,2;29,2;19,1;30,7;29,2;19,2;18;55;48;55;;;;
2024/01/01;2200 UTC;0;955,1;955,3;955;139,3;27,8;19,1;29,2;27,8;19,4;18,7;60;55;59;;;;
2024/01/01;2300 UTC;0;955,6;955,6;955,1;8,6;27,7;18,2;27,9;27,2;19,2;18,1;62;55;56;;;;
2024/01/02;0000 UTC;0;956,9;956,9;955,6;0;27,6;17,8;27,9;27,4;18,7;17,8;59;55;55;;;;
2024/01/02;0100 UTC;0;957;957,3;956,9;0;26;18,8;27,6;25,4;20,3;17,8;73;55;65;;;;
2024/01/02;0200 UTC;0;957,1;957,1;957;0;26,9;18,3;27;25,9;19;18,1;66;58;59;;;;
2024/01/02;0300 UTC;0;957,3;957,6;957,1;0;25;18,9;26,9;24,7;20;18,2;75;59;69;;;;
2024/01/02;0400 UTC;0;957,2;957,3;957,1;0;23,8;19,8;25,9;23,3;20,4;18,5;83;64;78;;;;
2024/01/02;0500 UTC;0;956,3;957,2;956,3;0;23,2;20,3;24,2;23,2;20,4;19,8;84;77;84;;;;
2024/01/02;0600 UTC;0;955,2;956,3;954,8;0;23,4;20,6;23,8;23;20,8;20,4;87;82;84;;;;
2024/01/02;0700 UTC;0;955,2;955,3;955,1;0;23,3;20;23,5;23,2;20,6;19,9;86;81;81;;;;
2024/01/02;0800 UTC;0;955,4;955,5;955,2;0;22,7;19,9;23,3;22,6;20,3;19,9;87;82;84;;;;
2024/01/02;0900 UTC;0;956;956;955,4;5,3;22,7;19,1;22,8;21,8;20;19,1;88;81;81;;;;
2024/01/02;1000 UTC;0;956,8;956,8;956;229,1;23,4;18,8;23,4;22,6;19,1;18,6;81;74;75;;;;
2024/01/02;1100 UTC;0;957,5;957,5;956,8;866,7;24,5;18,7;24,7;23,4;19,3;18,5;76;70;70;;;;
2024/01/02;1200 UTC;0;957,6;957,7;957,5;1511,6;26,8;19,5;27,2;24,5;19,9;18,2;70;60;64;;;;
2024/01/02;1300 UTC;0;957,7;957,7;957,4;2745,9;27,4;18,4;28,1;26,3;19,5;17,9;64;55;58;;;;
2024/01/02;1400 UTC;0;957,5;957,8;957,5;3137;28,7;20,3;29;27,3;20,4;18,6;62;57;60;;;;
2024/01/02;1500 UTC;0;957,1;957,5;957,1;3760,2;29,8;20,8;30,5;28,4;21,3;19,2;61;54;59;;;;
2024/01/02;1600 UTC;0;956,7;957,1;956,7;3447;31,5;20,6;31,6;29,3;21,1;19,2;60;50;52;;;;
2024/01/02;1700 UTC;0;955,6;956,7;955,6;4132,4;31,8;20,6;32,5;30,5;21,6;19,9;56;49;52;;;;
2024/01/02;1800 UTC;0;954,6;955,6;954,6;3656,1;32,1;20,4;32,5;30,9;21,2;18,8;54;46;50;;;;
2024/01/02;1900 UTC;0;953,8;954,7;953,8;2301,1;30,8;19,6;33;30,5;20,6;18,6;52;45;51;;;;
2024/01/02;2000 UTC;0;953,6;953,8;953,5;1141;29,9;20;31,1;29,9;20,7;19;56;50;55;;;;
2024/01/02;2100 UTC;0;953,8;953,8;953,6;525,5;29,2;20,7;29,9;29,2;21,5;19,8;63;55;60;;;;
2024/01/02;2200 UTC;0;954;954,1;953,7;301,5;26,8;21,7;29,2;26,8;22,1;20,7;74;60;74;;;;
2024/01/02;2300 UTC;0;954,8;954,8;954;19,6;24,7;21;26,8;24,7;21,8;21;80;74;80;;;;
2024/01/03;0000 UTC;0;955,6;955,6;954,8;0;24;21,1;25,4;24;21,5;21;84;78;84;;;;
2024/01/03;0100 UTC;0;955,8;955,8;955,6;0;24;21,5;24,3;23,6;21,5;21,1;87;84;86;;;;
2024/01/03;0200 UTC;0;956;956;955,7;0;23,6;21;24,2;23,5;21,5;21;88;85;86;;;;
2024/01/03;0300 UTC;0;956,1;956,3;956;0;23,1;20,7;23,6;23;21;20,7;87;85;86;;;;
2024/01/03;0400 UTC;0;955,6;956,2;955,6;0;24,5;20,1;24,9;23,1;20,8;19,9;86;74;77;;;;
