REGIAO:;S
UF:;PR
ESTACAO:;MARINGA
CODIGO (WMO):;A835
LATITUDE:;-23,40527777
LONGITUDE:;-51,93277777
ALTITUDE:;548,51
DATA DE FUNDACAO:;21/11/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;950,8;950,8;950,2;;27,4;13,1;27,7;27,1;14,2;13,1;44;41;41;164;3,3;1,2;
2024/01/01;0100 UTC;0;951,2;951,3;950,8;;27;13,3;27,6;27;13,3;12,9;43;40;43;201;3,6;1,7;
2024/01/01;0200 UTC;0;951;951,2;950,9;;26;14;27,1;26;14;13,2;48;42;48;247;4,6;1,9;
2024/01/01;0300 UTC;0;950,9;951;950,6;;25,2;14,3;26;25,2;14,3;13,9;51;48;51;216;6,4;2,7;
2024/01/01;0400 UTC;0;950,4;950,9;950,4;;24,4;14,6;25,2;24,3;14,6;14,3;55;51;55;222;8;3,3;
2024/01/01;0500 UTC;0;950,6;950,6;950,1;;22,9;15;24,4;22,9;15;14,6;61;55;61;114;8;2;
2024/01/01;0600 UTC;0;950,7;950,7;950,3;;22,1;15,3;22,9;22,1;15,3;15,1;65;61;65;197;6,9;2,2;
2024/01/01;0700 UTC;0;950,8;950,9;950,6;;21,2;15,5;22,1;21,2;15,5;15,3;70;65;70;184;5,8;2,4;
2024/01/01;0800 UTC;0;951,3;951,4;950,7;;20,5;15,7;21,2;20,5;15,7;15,6;74;70;74;234;5,7;1,5;
2024/01/01;0900 UTC;0;951,4;951,4;951,3;98,6;21,1;15,7;21,3;20,4;15,8;15,6;74;71;71;210;6,4;2,9;
2024/01/01;1000 UTC;0;951,6;951,6;951,4;1128,5;22,8;15,9;22,8;21,1;16,2;15,7;72;65;65;204;6,5;3,6;
2024/01/01;1100 UTC;0;951,7;951,8;951,5;2059,9;24,8;16,1;24,8;22,8;16,4;15,6;65;58;58;168;6,4;2,6;
2024/01/01;1200 UTC;0;951,9;951,9;951,7;2846,7;26,6;16,3;26,6;24,8;16,3;15,4;59;51;53;196;6,3;2,7;
2024/01/01;1300 UTC;0;951,7;951,9;951,6;3516,9;28;15,6;28,6;26,6;16,8;15,2;53;46;47;213;6,8;3,2;
2024/01/01;1400 UTC;0;951,1;951,7;951;3916,1;29,2;15,7;29,9;28;17,1;14,5;49;41;44;175;6,7;3;
2024/01/01;1500 UTC;0;950,7;951,1;950,7;4075,5;30;15,5;30,5;29;17;14;46;38;41;147;6,6;1,6;
2024/01/01;1600 UTC;0;949,6;950,7;949,6;3318,4;31,2;15,9;31,5;29,7;16,4;12,9;44;33;40;237;5,7;1,8;
2024/01/01;1700 UTC;0;948,8;949,6;948,8;2367,5;30,5;14,8;32,2;29,8;17,6;13,7;43;34;38;241;4,7;1,3;
2024/01/01;1800 UTC;0;947,7;948,8;947,7;1474,3;30,6;13,5;31,8;30;17;13;45;34;35;140;4,4;1,4;
2024/01/01;1900 UTC;0;947,2;947,7;947,1;1957,7;31,4;14,2;32,2;30,4;16,7;12,7;42;32;35;6;4,4;,9;
2024/01/01;2000 UTC;0;946,9;947,2;946,7;501,9;29,9;14;31,6;29,7;14,6;12,6;39;33;38;333;5,4;1,3;
2024/01/01;2100 UTC;0;947,6;947,6;946,9;191,5;28,9;16,8;30;28,4;17;14,4;50;38;48;68;3,3;,7;
2024/01/01;2200 UTC;0;947,9;947,9;947,6;12,6;28,4;15,7;29,5;28,4;16,7;15,1;48;42;46;294;3,7;1,4;
2024/01/01;2300 UTC;0;948,9;948,9;947,9;;27,1;16,6;28,4;26,8;16,8;15,7;53;46;53;190;4,1;,5;
2024/01/02;0000 UTC;0;949,8;949,9;948,9;;27,8;16,7;28,1;27,1;16,8;16,4;53;50;51;213;2,1;1,1;
2024/01/02;0100 UTC;0;950;950,1;949,7;;27,4;16,7;27,9;27,3;16,9;16,7;53;51;52;212;3,1;1,4;
2024/01/02;0200 UTC;0;949,6;950,3;949,6;;26,8;15,7;27,5;26,8;16,7;15,5;52;48;50;222;5;2;
2024/01/02;0300 UTC;0;949,4;949,8;949,4;;26,1;15,2;26,9;26,1;15,6;15,1;52;49;51;203;6,2;2,8;
