REGIAO:;S
UF:;PR
ESTACAO:;CAMPINA DA LAGOA
CODIGO (WMO):;B803
LATITUDE:;-24,57083332
LONGITUDE:;-52,80027777
ALTITUDE:;598
DATA DE FUNDACAO:;04/08/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;944;944;943,6;;24,7;19,2;25,3;24,2;19,5;18,9;74;68;72;51;2,5;1,7;
2024/01/01;0100 UTC;0;944,8;944,8;944;;23,9;19,2;24,7;23,9;19,3;19;76;72;75;43;2,7;1,9;
2024/01/01;0200 UTC;0;945;945,3;944,8;;21,9;19;23,9;21,9;19,6;19;84;75;84;52;3,8;2,6;
2024/01/01;0300 UTC;0;945;945,2;944,9;;21,2;18,5;22,1;21,2;19,1;18,5;85;80;84;59;3,8;2,6;
2024/01/01;0400 UTC;0;945;945;945;;21,5;17,9;21,7;21,1;18,5;17,8;84;79;80;82;3,8;1,6;
2024/01/01;0500 UTC;0;944,4;945;944,4;;21,2;17,1;21,5;19,9;17,9;17,1;88;77;77;93;6,5;4;
2024/01/01;0600 UTC;0;944,1;944,4;944;;20,6;16,6;21,3;20,4;17,2;16,6;82;77;78;94;6,5;4,6;
2024/01/01;0700 UTC;0;944;944,1;943,8;;19,5;16,6;20,7;19,5;16,6;16,4;83;77;83;92;6,1;3,3;
2024/01/01;0800 UTC;0;944;944,1;943,9;;19,7;16,9;19,7;19,4;16,9;16,6;85;83;84;104;6,3;3,5;
2024/01/01;0900 UTC;0;944;944;943,8;8,2;18,7;17,2;19,8;18,7;17,2;16,8;91;83;91;54;6,4;4,1;
2024/01/01;1000 UTC;0;944,5;944,5;944;399,7;20,9;17,6;21;18,6;17,8;17,2;92;81;81;59;5,3;3,8;
2024/01/01;1100 UTC;0;944,9;945;944,5;1244,2;22,9;18;23;20,9;18,3;17,6;81;74;74;57;8,1;6,5;
2024/01/01;1200 UTC;0;945,2;945,2;944,9;2114,2;24,7;18,5;25;22,9;19;18;76;66;68;56;8,1;5,4;
2024/01/01;1300 UTC;0;945,4;945,5;945,1;2877,5;26,8;18,9;26,8;24,7;19,2;17,9;69;62;62;27;9,6;3,3;
2024/01/01;1400 UTC;0;945,3;945,4;945,3;3454,8;28,5;18,1;28,8;26,1;19,4;17,5;63;53;53;37;6,1;3;
2024/01/01;1500 UTC;0;944,8;945,3;944,8;3828,7;29,7;17,9;29,7;27,6;19,3;17,4;59;49;49;36;6,4;1,7;
2024/01/01;1600 UTC;0;944,3;944,8;944,3;3936,1;29,8;17,4;31;29,2;19,3;17,2;53;47;48;185;6;2,1;
2024/01/01;1700 UTC;0;943,5;944,3;943,5;3521,1;30,9;17,7;31,9;29,5;20;16,6;52;43;45;49;6,8;3,8;
2024/01/01;1800 UTC;0;942,5;943,5;942,5;1571,2;31;18,2;31;29,3;19,1;16,8;51;44;46;77;6;2,8;
2024/01/01;1900 UTC;0;941,4;942,5;941,4;2469,9;31,2;17,9;32;30;18,7;17,2;48;43;45;72;7;3,4;
2024/01/01;2000 UTC;0;941;941,5;941;1223,2;30,4;16,8;31,2;29,8;18,3;16,6;50;43;44;71;7;2,2;
2024/01/01;2100 UTC;0;940,9;941;940,8;1230;29,6;14,3;31,4;29,5;17,7;14,3;46;37;39;109;4,3;2,7;
2024/01/01;2200 UTC;0;941,7;941,7;940,9;416,3;27,2;18,6;30,2;27,2;19;14,1;60;39;59;10;3,9;1,8;
2024/01/01;2300 UTC;0;942,1;942,1;941,6;7,9;26,6;17,7;27,2;26,4;19;17,6;63;56;58;38;3,3;1,8;
2024/01/02;0000 UTC;0;943,2;943,2;942;;25,1;18,1;26,6;24,7;18,3;17,7;67;58;65;30;3,4;2,1;
2024/01/02;0100 UTC;0;943,6;943,7;943,2;;25,3;18,2;25,5;24,9;18,5;17,9;67;63;65;43;3,4;1,6;
2024/01/02;0200 UTC;0;943,5;943,6;943,3;;24,7;18,3;25,3;24,3;18,7;18;71;65;68;51;3;2;
2024/01/02;0300 UTC;0;943,7;943,8;943,5;;24,2;17,9;25,4;24,1;18,3;17,2;69;61;68;22;3,6;2,7;
2024/01/02;0400 UTC;0;943,1;943,7;943,1;;23,8;17,8;24,3;23,7;18,6;17,6;73;68;70;49;3,7;2,2;
2024/01/02;0500 UTC;0;942,3;943,1;942,3;;22,7;18,1;23,9;22,7;18,1;17,3;75;66;75;36;3,7;2,7;
2024/01/02;0600 UTC;0;941,6;942,3;941,6;;22,8;18;22,8;22,1;18,8;18;80;74;74;330;4,6;1,8;
2024/01/02;0700 UTC;0;941,4;941,7;941,3;;22,4;17,9;22,9;22,4;18,4;17,8;77;74;76;48;4,6;2,8;
2024/01/02;0800 UTC;0;942,1;942,1;941,4;;22,3;17,5;22,8;22,3;17,9;17,3;76;72;74;13;4,4;2,7;
2024/01/02;0900 UTC;0;942,4;942,4;942,1;7,9;21,5;17,7;22,3;20,9;18,1;17,5;84;74;79;17;4,2;2,3;
2024/01/02;1000 UTC;0;943,1;943,1;942,4;233,3;21,8;18,6;21,8;21,4;18,7;17,7;84;78;82;53;4;2,6;
2024/01/02;1100 UTC;0;943,9;943,9;943,1;698,4;23,4;18,6;23,4;21,8;18,9;18,2;83;74;74;59;4,3;3;
2024/01/02;1200 UTC;0;943,7;944;943,7;1630,6;25,5;18;25,5;23,3;18,9;17,5;76;63;63;50;7,5;4,4;
2024/01/02;1300 UTC;0;943,9;943,9;943,7;2724,9;26,6;18,2;26,8;25,2;18,4;17,2;65;57;60;28;7,5;2,9;
2024/01/02;1400 UTC;0;943,8;944;943,8;3286,7;27,8;18,5;28,1;26,6;18,8;17,2;60;53;57;356;7,6;4;
2024/01/02;1500 UTC;0;943,4;943,8;943,4;3238,4;28,7;18,7;29,2;27,4;19,5;17,8;60;53;55;27;7,3;2,6;
2024/01/02;1600 UTC;0;942,8;943,4;942,8;2878,5;29,7;19,2;30,3;28,3;20;18,4;59;51;53;335;5,6;2,3;
2024/01/02;1700 UTC;0;941,9;942,8;941,9;2698;30;17,6;31;28,6;20,1;17,6;57;47;47;290;4,9;2,4;
2024/01/02;1800 UTC;0;941,1;942;941;2688,6;30,3;18,9;30,9;28,8;19,8;17,2;54;47;51;314;7,9;3,4;
2024/01/02;1900 UTC;0;940,3;941,1;940,3;2413,8;30;17,8;31,5;29,5;19,5;17,1;53;44;48;339;6,2;,7;
2024/01/02;2000 UTC;0;940,3;940,3;939,9;1495,2;29,4;19;31,7;29,4;20;17,8;57;46;54;131;4,6;2,2;
2024/01/02;2100 UTC;0;940,3;940,4;940,1;458,2;28,5;19,9;29,4;28,4;20;18,7;60;53;60;143;4,8;2,6;
2024/01/02;2200 UTC;0;940,5;940,6;940,2;163,5;26,9;20,5;28,6;26,9;20,6;19,8;68;60;68;133;5,2;2,6;
2024/01/02;2300 UTC;0;941,3;941,3;940,5;13,1;26;20,4;26,9;25,9;20,5;19,9;72;66;71;147;5;2,5;
2024/01/03;0000 UTC;0;942;942;941,3;;24,9;19,9;26;24,8;20,4;19,7;74;71;74;140;5,1;2;
