REGIAO:;S
UF:;RS
ESTACAO:;SANTA MARIA
CODIGO (WMO):;A803
LATITUDE:;-29,72499999
LONGITUDE:;-53,72055554
ALTITUDE:;103,1
DATA DE FUNDACAO:;26/11/01
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1001,4;1002,4;1001,4;;21,7;15,6;22,2;21,7;15,9;15,1;70;64;68;75;5;3,1;
2024/01/01;0100 UTC;0;1001,8;1001,8;1001,1;;21,2;15,4;21,8;21;15,7;15,1;70;66;70;124;6,4;2,8;
2024/01/01;0200 UTC;0;1002,5;1002,5;1001,4;;20,5;15,1;21,2;20,5;15,6;15,1;73;70;71;116;7,7;2,7;
2024/01/01;0300 UTC;0;1002,7;1002,9;1002,5;;19,2;15;20,5;19,2;15;14,6;77;70;77;100;8,2;3,5;
2024/01/01;0400 UTC;0;1002,9;1002,9;1002,6;;18,2;15,2;19,2;18,2;15,3;15;83;77;83;104;7,9;2;
2024/01/01;0500 UTC;0;1002,4;1003,1;1002,4;;17,4;15,4;18,3;17,4;15,4;15;88;82;88;82;6;2,3;
2024/01/01;0600 UTC;0;1001,9;1002,5;1001,9;;17;15,3;17,4;17;15,5;15,3;90;88;90;102;4,8;1,7;
2024/01/01;0700 UTC;0;1001,7;1001,9;1001,5;;16,6;15,6;17;16,6;15,6;15,4;93;90;93;93;5,5;2,1;
2024/01/01;0800 UTC;0;1001,8;1001,8;1001,4;;16,4;15,6;16,6;16,1;15,7;15,3;95;93;95;122;5;2;
2024/01/01;0900 UTC;0;1002,1;1002,1;1001,7;13,3;16,1;;16,5;16,1;15,6;15,5;97;95;;129;4,7;1,3;
