REGIAO:;S
UF:;RS
ESTACAO:;SANTANA DO LIVRAMENTO
CODIGO (WMO):;A804
LATITUDE:;-30,75055555
LONGITUDE:;-55,40138888
ALTITUDE:;196
DATA DE FUNDACAO:;22/11/01
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;991;991;990,2;;19,9;15,2;21,5;19,8;16,7;15,1;75;71;74;149;3,6;1,6;
2024/01/01;0100 UTC;0;991,8;991,8;990,9;;20;14,6;20,7;19,6;15,1;14,5;75;69;71;137;4;1,1;
2024/01/01;0200 UTC;0;992,4;992,4;991,8;;19,2;14,4;20,1;19,1;14,7;14,3;74;71;74;140;2,6;,6;
2024/01/01;0300 UTC;0;992;992,4;992;;18,4;14,9;19,2;18,1;15;14,3;81;74;80;71;2,9;1,5;
2024/01/01;0400 UTC;0;992;992;991,8;;17,7;15,1;18,4;17,2;15,2;14,7;87;80;85;73;4;2,4;
2024/01/01;0500 UTC;0;991,4;992;991,4;;17,3;14,5;18;17,3;15,1;14,5;85;81;84;66;8,1;2,8;
2024/01/01;0600 UTC;0;991,7;991,7;991,3;;16;14,2;17,3;16;14,6;14,2;89;84;89;60;5,3;2;
2024/01/01;0700 UTC;0;991,9;991,9;991,6;;16;13,8;16,8;16;14,5;13,8;90;86;87;46;6,8;2,6;
2024/01/01;0800 UTC;0;992,2;992,2;991,6;;15,1;13,5;16;15,1;13,9;13,4;90;87;90;77;6,2;1,6;
2024/01/01;0900 UTC;0;992,7;992,7;992,1;15,8;14,4;13,2;15,1;14,4;13,5;13;92;90;92;160;4,2;1,5;
2024/01/01;1000 UTC;0;992,7;992,7;992,5;414,6;16,5;14,4;16,5;14,4;14,4;13,2;92;87;87;87;4,3;2,3;
2024/01/01;1100 UTC;0;992,7;992,8;992,7;1228,4;18;14,7;18,5;16,5;15,3;14,3;87;80;81;94;6,1;3,9;
2024/01/01;1200 UTC;0;992,2;992,7;992,2;1911,6;19,6;15,5;19,7;18;15,5;14,4;82;75;77;70;6,7;3,5;
2024/01/01;1300 UTC;0;991,5;992,2;991,5;2477,6;21,1;15,6;21,7;19,3;16,2;14,9;78;68;71;69;8,9;3,2;
2024/01/01;1400 UTC;0;991,5;991,5;991,2;3313,8;23;16,1;23,6;21,1;16,8;15,3;72;63;65;85;6,2;2,7;
2024/01/01;1500 UTC;0;991,1;991,5;991,1;3494,1;24,7;15,5;24,8;23;17,3;15,4;68;57;57;133;5,4;2;
