REGIAO:;S
UF:;RS
ESTACAO:;BAGE
CODIGO (WMO):;A827
LATITUDE:;-31,34777777
LONGITUDE:;-54,01333333
ALTITUDE:;226,19
DATA DE FUNDACAO:;04/01/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;988,6;988,7;988,1;;20,3;13,8;21,5;20,3;15,6;13,7;72;64;67;110;8,8;6,2;
2024/01/01;0100 UTC;0;989,2;989,2;988,5;;19,1;14,1;20,3;19,1;14,1;13,7;73;66;73;108;8,9;4,7;
2024/01/01;0200 UTC;0;989,6;989,6;989,1;;17,5;14,3;19,2;17,5;14,4;14;82;72;82;109;6,9;3,3;
2024/01/01;0300 UTC;0;989,6;989,6;989,4;;17,4;14,1;17,6;17;14,3;14;83;80;81;96;6,8;4,5;
2024/01/01;0400 UTC;0;989,7;990;989,5;;16,7;14,1;17,5;16,5;14,3;13,9;86;81;85;89;6,8;3,2;
2024/01/01;0500 UTC;0;988,6;989,7;988,6;;16,4;13,9;16,8;16,2;14,2;13,9;87;85;85;62;8,9;5,1;
2024/01/01;0600 UTC;0;988,2;988,6;988;;15,8;13,7;16,4;15,7;13,9;13,6;87;85;87;54;11,4;5,4;
2024/01/01;0700 UTC;0;988,2;988,5;988,1;;15,5;13,3;15,8;15,4;13,6;13,3;88;86;87;68;9,5;3,7;
2024/01/01;0800 UTC;0;988,5;988,8;988,1;;15,2;13,2;15,5;14,7;13,4;13;90;87;88;60;7,2;2,6;
2024/01/01;0900 UTC;0;989,5;989,5;988,2;44,2;15,2;13,2;15,4;14,9;13,3;13;89;87;88;170;5,9;1;
2024/01/01;1000 UTC;0;989,3;989,6;989,1;565,4;17,6;14,4;17,6;15,2;14,4;13,2;88;81;81;64;4,6;2;
2024/01/01;1100 UTC;0;989,1;989,4;989,1;1298,6;19,7;14,9;19,9;17,6;15,4;14,1;81;73;74;67;9;5,3;
2024/01/01;1200 UTC;0;988,6;989,3;988,6;2270,4;21,5;15,2;21,7;19,6;15,6;14,7;74;67;68;44;9,8;5,6;
2024/01/01;1300 UTC;0;988,1;988,7;988,1;3022,1;23,6;15,3;23,6;21,4;16;14,8;69;59;60;27;8;4,1;
2024/01/01;1400 UTC;0;987,7;988,1;987,5;3464,4;25,3;13,9;25,5;23,6;16,7;13,9;64;49;49;55;7,4;3,7;
2024/01/01;1500 UTC;0;987,4;987,7;987,3;3815,1;26,2;12,8;27,2;25,1;15,8;12,8;55;43;44;101;7,2;2,5;
2024/01/01;1600 UTC;0;986,9;987,4;986,9;3499,2;26,6;12,3;27,4;26;15,7;11,9;51;40;41;118;5,4;2,6;
