REGIAO:;S
UF:;RS
ESTACAO:;SAO BORJA
CODIGO (WMO):;A830
LATITUDE:;-28,65
LONGITUDE:;-56,01638888
ALTITUDE:;81,08
DATA DE FUNDACAO:;21/07/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1000,4;1001,1;1000,1;;23,9;16,1;25;23,8;16,6;15,9;62;58;62;98;9;2,5;
2024/01/01;0100 UTC;0;1002,3;1002,4;1000,2;;23,6;16,5;24;23,5;16,6;16,1;65;62;64;115;7,5;,3;
2024/01/01;0200 UTC;0;1003,4;1003,4;1002,2;;21,9;17,3;23,7;21,9;17,7;16,5;76;64;75;159;5,3;2,2;
2024/01/01;0300 UTC;0;1003;1003,5;1003;;21,3;16,5;22;21,3;17,3;16,4;77;72;74;135;6,2;3;
2024/01/01;0400 UTC;0;1002,2;1003;1002,2;;21,7;16,4;21,7;21,2;16,6;16,2;74;71;72;114;6,5;3,5;
2024/01/01;0500 UTC;0;1002,1;1002,6;1002;;21,2;16,6;21,7;21,1;16,6;16,3;75;72;75;97;7;3,2;
2024/01/01;0600 UTC;0;1001,8;1002,1;1001,8;;20,6;17;21,2;20,6;17;16,6;80;75;80;96;7,1;3,4;
2024/01/01;0700 UTC;0;1001,7;1001,9;1001,6;;20,2;16,9;20,6;20,2;17,1;16,9;81;80;81;87;6,8;3,4;
2024/01/01;0800 UTC;0;1002,1;1002,1;1001,6;;20;17,1;20,4;20;17,1;16,9;83;81;83;92;6,6;3;
2024/01/01;0900 UTC;0;1002,8;1002,8;1002,1;2,5;19,5;17,2;20;19,4;17,2;17;87;83;86;97;5,7;2,3;
2024/01/01;1000 UTC;0;1003,3;1003,4;1002,7;244,7;20,8;17,6;20,8;19,4;17,6;17,1;87;82;82;111;4,1;2,1;
2024/01/01;1100 UTC;0;1003,6;1003,6;1003,3;954,3;22,5;17,8;22,6;20,8;18,2;17,2;82;75;75;108;6,1;2,2;
2024/01/01;1200 UTC;0;1003,3;1003,6;1003,1;1759,4;24,8;19,1;24,8;22,5;19,3;17,8;76;69;70;76;4,7;,8;
2024/01/01;1300 UTC;0;1002,7;1003,3;1002,7;2508,5;26,6;20;26,6;24,4;20,8;18,5;71;66;67;68;5,3;1,4;
2024/01/01;1400 UTC;0;1002;1002,7;1002;3116,8;28,9;19,7;29;26,3;21,5;19,4;69;58;58;73;4,5;,6;
2024/01/01;1500 UTC;0;1001,6;1002;1001,6;3470,3;30,1;19,1;30,9;28,9;21,8;18,8;62;50;52;146;3,8;1,6;
