REGIAO:;S
UF:;RS
ESTACAO:;QUARAI
CODIGO (WMO):;A831
LATITUDE:;-30,368578
LONGITUDE:;-56,437115
ALTITUDE:;113,05
DATA DE FUNDACAO:;17/10/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;999,8;999,9;998;;19,5;15,3;20,7;19,5;15,7;15,2;77;72;77;152;5,6;1,9;
2024/01/01;0100 UTC;0;1000,3;1000,3;999,7;;16,9;15,2;19,5;16,9;15,6;15,1;90;77;90;75;2,6;1,2;
2024/01/01;0200 UTC;0;1000;1000,3;1000;;17,2;15,5;17,7;16,7;16,2;15,1;92;89;90;111;3;1,7;
2024/01/01;0300 UTC;0;999,2;1000;999,2;;18,6;15,8;18,6;16,9;16,4;15,3;91;84;84;105;5,3;3,4;
2024/01/01;0400 UTC;0;998,7;999,3;998,7;;17,4;15,5;18,8;17,4;15,8;15,3;88;82;88;81;5,7;1,6;
2024/01/01;0500 UTC;0;999,3;999,4;998,7;;17,3;15,5;17,8;16,7;15,8;15,1;91;87;89;149;3,7;2,7;
2024/01/01;0600 UTC;0;999,1;999,3;998,9;;16,3;15;17,3;16,2;15,5;14,8;92;89;92;120;4,4;1,8;
2024/01/01;0700 UTC;0;999,1;999,3;999;;16,8;14,9;17,1;16,3;15,4;14,8;92;88;89;131;4,9;2,2;
2024/01/01;0800 UTC;0;999,6;999,6;999,1;;15,8;14,4;16,8;15,7;14,9;14,1;91;87;91;129;3,4;2;
2024/01/01;0900 UTC;0;1000;1000,1;999,6;26;15,9;14,5;16,2;15,6;14,6;14,1;92;90;91;134;4,1;2,5;
2024/01/01;1000 UTC;0;1000,4;1000,4;999,9;553,9;18,5;15,4;18,5;15,9;15,5;14,6;91;82;82;126;4,1;2,3;
2024/01/01;1100 UTC;0;1000;1000,4;999,9;1430,9;21,4;15,8;21,4;18,5;16,3;15,1;82;70;70;103;6,2;3,2;
2024/01/01;1200 UTC;0;999,7;1000,1;999,7;2244,2;24,2;17,7;24,2;21,4;17,9;15,7;72;64;67;89;5,7;3,1;
2024/01/01;1300 UTC;0;999;999,7;998,7;2896,7;25,8;18,6;26,2;23,8;19,2;16,7;68;60;65;56;6,6;3,2;
2024/01/01;1400 UTC;0;998,9;999;998,8;3414;27,6;18,3;28,2;25,8;20,4;17,8;67;56;57;47;5,5;2,1;
2024/01/01;1500 UTC;0;998,3;998,9;998,3;3596,2;28,7;19,8;28,7;27,5;21,3;18,3;65;57;59;26;5,2;2,6;
2024/01/01;1600 UTC;0;997,2;998,3;997,2;3528,6;29;18,3;29,2;28,4;21,1;18;64;51;53;39;5,2;2,2;
2024/01/01;1700 UTC;0;997,5;997,5;997,2;2826,6;29,8;18,8;30;28,9;20,2;17,8;59;49;52;115;4,2;1,4;
2024/01/01;1800 UTC;0;996,9;997,5;996,9;2981,5;30,8;17,1;30,9;29,6;20,9;15,9;57;41;44;277;3,1;,4;
2024/01/01;1900 UTC;0;996,1;996,9;996,1;1962,7;28,6;18,4;30,9;28,6;19,5;16,1;55;42;54;121;4,3;2,3;
2024/01/01;2000 UTC;0;996,1;996,2;996;1270,9;28;19,9;29,5;28;19,9;17,8;62;51;62;161;3,8;1,1;
2024/01/01;2100 UTC;0;996,1;996,1;995,7;480;26,6;18,4;28;26,6;19,4;17,7;62;55;61;151;5,6;2,9;
2024/01/01;2200 UTC;0;995,7;996,3;995,7;241,4;25,6;16,9;26,6;25,6;18,5;16,9;61;57;58;132;6,6;3;
2024/01/01;2300 UTC;0;996,3;996,4;995,7;58,1;23,8;16,8;25,6;23,8;17;16,1;65;56;65;115;5,8;1,9;
2024/01/02;0000 UTC;0;996,6;996,6;996,1;;20,8;16,9;23,8;20,8;17;16,4;79;65;79;192;4,2;1,9;
2024/01/02;0100 UTC;0;997,2;997,2;996,6;;19,4;16,8;21;19,4;17,1;16,7;85;78;85;59;3,4;,5;
2024/01/02;0200 UTC;0;997,5;997,5;997,2;;19,2;17;19,5;18,7;17,2;16,5;88;85;87;160;2,6;1,8;
2024/01/02;0300 UTC;0;997;997,5;997;;18,7;17;19,4;18,7;17,1;16,8;90;86;90;153;3,3;2,5;
2024/01/02;0400 UTC;0;996,6;997;996,6;;18,9;17,2;19;18,7;17,3;17;91;90;90;144;3,8;2,4;
2024/01/02;0500 UTC;0;996;996,6;996;;18,6;16,7;19,2;18,6;17,2;16,6;90;87;89;144;3,8;1,9;
2024/01/02;0600 UTC;0;996;996;995,9;;18,4;16,7;18,7;18,3;16,8;16,4;90;88;90;139;3,8;2,1;
2024/01/02;0700 UTC;0;996;996;995,7;;18,2;16,9;18,5;18,1;16,9;16,6;92;90;92;136;3,8;2;
2024/01/02;0800 UTC;0;996,3;996,4;996;;17,9;16,9;18,3;17,9;17;16,8;94;92;94;133;3,1;1,1;
2024/01/02;0900 UTC;0;996,8;996,8;996,3;23,5;18,2;17,4;18,2;17;17,4;16;96;93;95;127;2,9;1,4;
2024/01/02;1000 UTC;0;997,4;997,4;996,8;461,2;21,3;18,8;21,3;18,2;19;17,5;95;86;86;127;3,3;1,8;
2024/01/02;1100 UTC;0;997,5;997,6;997,3;1366,3;23,1;19,3;23,4;21,3;19,8;18,6;86;79;79;133;4,8;2,7;
2024/01/02;1200 UTC;0;997,4;997,5;997,3;2179,9;25,9;20,6;26;23,1;21,1;19,4;81;72;72;112;4,8;2,1;
2024/01/02;1300 UTC;0;997,3;997,4;997,3;2865,5;27,8;21;27,9;25,5;21,6;19,5;74;62;66;110;4;1,4;
2024/01/02;1400 UTC;0;997,1;997,3;997;3396,3;28,8;18,9;29;27,8;21,9;17,7;67;52;55;162;4,4;1,4;
2024/01/02;1500 UTC;0;996,8;997,1;996,8;3592,9;28,4;18,1;30,6;28,4;20,4;16,5;59;44;54;203;4,9;2,3;
2024/01/02;1600 UTC;0;996,5;996,8;996,5;2898,7;28,5;17,2;30,4;28,3;20,4;15,2;59;42;51;175;4,6;1,9;
2024/01/02;1700 UTC;0;996;996,5;996;2797,9;30,5;18,1;31;28;19,7;16,7;57;43;48;183;4,4;2,6;
2024/01/02;1800 UTC;0;995,6;996;995,6;2880;30,9;16,7;31,2;28,8;19;15,5;51;40;43;164;4,7;1,6;
2024/01/02;1900 UTC;0;994,8;995,6;994,8;2743,3;31,4;18,1;31,6;30,1;18,7;15,2;49;40;45;198;5,5;2,5;
2024/01/02;2000 UTC;0;994,3;994,8;994,3;1861;30,3;16,8;31,4;29,4;18,5;14,9;50;38;44;172;5;1,8;
2024/01/02;2100 UTC;0;994,1;994,3;994;1188,9;30,9;15,9;30,9;29,2;18,1;15,5;51;39;41;180;4;1,3;
2024/01/02;2200 UTC;0;994,5;994,5;994,1;277;29;18,5;30,9;27,4;19,2;15,4;55;40;53;196;2,8;,7;
2024/01/02;2300 UTC;0;994,9;994,9;994,5;47,4;27,3;17,1;29,2;26,6;19,4;16,9;57;48;54;195;4,1;2,8;
2024/01/03;0000 UTC;0;995,6;995,6;994,9;;26,8;17,2;27,7;26,3;17,7;16,9;59;52;56;190;7,6;2,2;
2024/01/03;0100 UTC;0;995,7;995,7;995,6;;24,4;18,8;26,8;24,2;18,8;17,1;72;56;71;180;4,2;1,5;
2024/01/03;0200 UTC;0;996,5;996,5;995,7;;24,3;19;25,3;24,1;19;18,6;73;67;73;103;6,2;3;
2024/01/03;0300 UTC;0;997,5;997,5;996,5;;23,5;18,8;24,3;23,3;19,3;18,7;76;73;75;114;7,7;4,2;
2024/01/03;0400 UTC;0;996,3;997,5;996,3;;21,5;18;23,6;21,5;18,9;18;80;74;80;91;8,8;2,6;
2024/01/03;0500 UTC;0;995,8;996,3;995,4;;20,4;18,2;21,5;19,7;18,2;17,6;89;80;88;111;5,7;2,3;
2024/01/03;0600 UTC;0;996,1;996,1;995,6;;19,6;17,6;20,9;19,6;18,3;17,4;88;82;88;154;7,9;2;
2024/01/03;0700 UTC;0;996,2;996,2;995,8;;19,2;18,1;19,6;19,1;18,1;17,6;93;88;93;134;3,7;2;
2024/01/03;0800 UTC;0;997,1;997,1;996,2;;19,5;18,7;19,6;19,2;18,7;18,1;95;93;95;132;4,7;2,1;
2024/01/03;0900 UTC;0;997,9;997,9;997,1;23,2;19,8;18,7;19,8;19,4;18,7;18,4;95;93;93;126;5,1;2,3;
2024/01/03;1000 UTC;0;998,3;998,4;997,9;268,2;21,5;19,5;21,5;19,8;19,6;18,6;93;88;88;113;6,7;3,9;
2024/01/03;1100 UTC;0;999;999;998,3;640,1;22,3;19,4;22,4;21,5;19,6;19,3;88;83;84;104;8,4;4,7;
2024/01/03;1200 UTC;0;999,5;999,5;999;1129;23,4;19,6;23,6;22,3;19,8;19,1;84;78;80;103;9,7;5,6;
2024/01/03;1300 UTC;0;999,2;999,5;999,2;2181,7;24,7;19,4;25,9;23,3;21,2;19,4;80;71;73;92;8,9;4,7;
2024/01/03;1400 UTC;0;999,2;999,3;999,1;2400,5;25,6;19,5;26,9;24,7;21,5;19,5;76;69;69;103;7,7;3,6;
2024/01/03;1500 UTC;0;999,2;999,3;999,2;3372,6;27,2;20,8;27,4;25,4;21,7;19,5;72;65;68;120;7,7;4,5;
2024/01/03;1600 UTC;0;998,9;999,2;998,8;3038,5;26,8;19,4;28,6;26,4;21,6;19,3;69;61;64;106;9,2;3,8;
2024/01/03;1700 UTC;0;998,4;998,9;998,4;2602,2;29;20,1;29,1;26,7;21,4;18,9;68;57;59;110;7,5;4,1;
2024/01/03;1800 UTC;0;998;998,4;998;2653,7;29,1;19,4;29,9;27,4;21,3;18,5;66;55;56;106;7,6;3,9;
2024/01/03;1900 UTC;0;997,6;997,9;997,6;2140,6;29,7;19;29,9;27,2;20,9;18,3;63;52;53;112;7,6;3,5;
2024/01/03;2000 UTC;0;997;997,6;997;1949;29,2;19,2;29,8;28;20,6;17,9;60;51;55;122;6,4;3,6;
2024/01/03;2100 UTC;0;996,6;997;996,6;1359,3;29,2;20;29,7;28,7;20,8;18,5;59;52;57;70;5,9;2,5;
2024/01/03;2200 UTC;0;997;997;996,6;354;27,2;20,1;29,2;26,7;20,1;19,1;65;56;65;110;5,4;1,8;
2024/01/03;2300 UTC;0;997,4;997,4;996,9;35,4;24,2;19,4;27,2;24,2;19,7;18,8;75;63;75;128;3,8;1,4;
2024/01/04;0000 UTC;0;998,2;998,2;997,4;;24,5;19,3;24,5;23,5;19,7;19,3;78;73;73;116;5,9;3,3;
2024/01/04;0100 UTC;,6;998,9;998,9;998,2;,7;21,5;19,4;24,8;21,5;19,7;18,3;88;67;88;87;9,2;3,1;
2024/01/04;0200 UTC;0;999,1;999,3;998,9;;21;17,2;21,9;21;19,5;17,2;89;78;79;105;6,9;3,5;
2024/01/04;0300 UTC;0;999;999,2;998,9;;19,6;16,9;21,1;19,6;17,3;16,9;85;78;85;102;5,8;3,2;
2024/01/04;0400 UTC;0;998,6;999;998,6;;19,3;17,6;19,8;19,3;17,6;16,9;90;85;90;128;5,7;2,2;
2024/01/04;0500 UTC;0;998,5;998,7;998,4;;19,2;18;19,4;18,8;18,1;17,5;93;90;93;122;3,8;2;
