REGIAO:;S
UF:;RS
ESTACAO:;CRUZ ALTA
CODIGO (WMO):;A853
LATITUDE:;-28,60344
LONGITUDE:;-53,673597
ALTITUDE:;426,69
DATA DE FUNDACAO:;31/05/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;964,8;964,8;964,1;;20,2;16,6;22;20,2;16,6;15,4;80;67;80;360;7,6;4,8;
2024/01/01;0100 UTC;0;964,6;965,4;964,6;;20,1;16,7;20,3;19,9;17;16,6;82;80;81;360;7,7;5;
2024/01/01;0200 UTC;0;963,7;964,6;963,5;;19,6;16,1;20,2;19,5;16,8;16,1;84;80;80;360;10,4;6,6;
2024/01/01;0300 UTC;0;964,1;964,1;963,2;;18,5;15,5;19,6;18,5;16;15,4;83;78;83;360;11,3;5;
2024/01/01;0400 UTC;0;964,5;964,5;964;;17,9;15,4;18,5;17,9;15,7;15,4;86;83;85;360;7,6;3,8;
2024/01/01;0500 UTC;0;964,3;964,6;964,3;;17,3;14,9;17,8;17,1;15,4;14,8;87;85;86;360;6;3,7;
2024/01/01;0600 UTC;0;963,5;964,4;963,5;;17,2;14,8;17,5;17,2;14,8;14,7;86;84;86;360;6,6;4,1;
2024/01/01;0700 UTC;0;963,2;963,6;963,1;;16,9;14,8;17,3;16,9;14,9;14,7;87;85;87;360;6,7;2,9;
2024/01/01;0800 UTC;0;963,8;963,8;963,3;;16,8;14,6;16,9;16,6;14,8;14,5;88;87;87;360;5,9;3,3;
2024/01/01;0900 UTC;0;963,7;963,8;963,5;14;16,3;14,8;16,8;16;14,8;14,6;92;87;91;360;5,9;2,3;
2024/01/01;1000 UTC;0;964,2;964,2;963,7;402,3;18,3;15,7;18,3;16,3;15,7;14,8;91;84;85;360;4,7;3;
2024/01/01;1100 UTC;0;964,3;964,3;964,1;1187,3;21,1;17,3;21,1;18,3;17,4;15,7;85;78;79;360;4,9;3,1;
2024/01/01;1200 UTC;0;964,5;964,7;964,3;2022,2;23,2;18,2;23,4;21;18,3;17;81;72;73;360;4,4;2,4;
