REGIAO:;S
UF:;RS
ESTACAO:;MOSTARDAS
CODIGO (WMO):;A878
LATITUDE:;-31,24833333
LONGITUDE:;-50,90638888
ALTITUDE:;3,82
DATA DE FUNDACAO:;11/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1016,6;1016,6;1016,1;0;20;14,1;20,2;19,8;14,6;13,8;70;68;69;112;8,7;6,1;
2024/01/01;0100 UTC;0;1017,2;1017,2;1016,6;0;20,2;14,5;20,4;19,8;14,9;13,9;71;69;70;85;8,1;5,1;
2024/01/01;0200 UTC;0;1017,1;1017,3;1017,1;0;20,5;14,7;20,5;20;14,8;14;71;68;70;75;8,5;5,9;
2024/01/01;0300 UTC;0;1016,8;1017,1;1016,7;0;20,7;14,8;20,9;20,3;15,2;14,2;70;67;69;72;8,9;6,3;
2024/01/01;0400 UTC;0;1016,6;1016,8;1016,5;0;20,8;15;21;20,6;15,2;14,4;70;68;69;64;9,2;6,5;
2024/01/01;0500 UTC;0;1016,1;1016,6;1016,1;0;20,9;14,9;21,3;20,7;15,9;14,7;71;68;69;57;;5,8;
2024/01/01;0600 UTC;0;1015,2;1016,1;1015,2;0;21,1;15,4;21,3;20,8;15,8;14,7;71;68;70;67;10,1;6;
2024/01/01;0700 UTC;0;1014,7;1015,2;1014,6;0;21,3;16,1;21,4;20,9;16,1;15;72;69;72;72;9,7;7;
2024/01/01;0800 UTC;0;1014,9;1015;1014,6;0;21,4;16,6;21,6;21,1;16,9;15,9;75;72;74;72;13,2;7,2;
2024/01/01;0900 UTC;0;1015,2;1015,3;1014,9;58,9;21,7;16,3;21,7;21;17,1;16;76;71;72;58;9,6;6,2;
2024/01/01;1000 UTC;0;1015,4;1015,6;1015,1;638,3;22,7;17,4;22,7;21,6;17,4;16,2;73;71;72;62;8,7;6,4;
2024/01/01;1100 UTC;0;1015,6;1015,6;1015,3;1372,3;23,5;17,6;23,6;22,6;17,7;17;72;68;70;65;8,9;6,4;
2024/01/01;1200 UTC;0;1016,1;1016,1;1015,6;1818,9;23,8;17,8;24,3;23,5;18,3;17,3;70;67;69;57;9,6;5,6;
