REGIAO:;S
UF:;RS
ESTACAO:;CAMPO BOM
CODIGO (WMO):;A884
LATITUDE:;-29,674293
LONGITUDE:;-51,064042
ALTITUDE:;23,35
DATA DE FUNDACAO:;29/11/13
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1013,5;1013,5;1013,2;;20;14,1;20,7;20;14,2;13,9;69;65;69;82;4,9;1,5;
2024/01/01;0100 UTC;0;1014,2;1014,3;1013,5;;18,9;14,6;20,1;18,8;14,6;14,1;76;69;76;75;4,1;1,2;
2024/01/01;0200 UTC;0;1014,2;1014,3;1014,2;;18,3;15;18,9;17,9;15;14,5;82;76;81;79;2,5;,9;
2024/01/01;0300 UTC;0;1013,7;1014,2;1013,7;;18,4;14,9;18,6;18,3;15,1;14,9;81;80;80;62;2,4;1;
2024/01/01;0400 UTC;0;1013,2;1013,7;1013,2;;18,2;15,1;18,7;18,2;15,2;14,9;82;80;82;58;2,3;,6;
2024/01/01;0500 UTC;0;1012,6;1013,2;1012,6;;17,7;15,3;18,2;17,5;15,5;15,1;87;82;86;17;1,8;,4;
2024/01/01;0600 UTC;0;1012;1012,7;1011,9;;16,9;15,2;17,7;16,8;15,4;15;90;86;90;237;1;,5;
2024/01/01;0700 UTC;0;1011,9;1012;1011,8;;16,8;15,4;16,9;16,4;15,5;14,8;92;90;91;290;1,5;,4;
2024/01/01;0800 UTC;0;1012,2;1012,3;1011,9;;16,5;15,2;16,9;16,5;15,5;15,1;92;91;92;270;1,2;,5;
2024/01/01;0900 UTC;0;1012,4;1012,4;1012,2;17,1;16,4;15,2;16,5;16;15,3;14,7;93;92;93;11;1,2;,3;
2024/01/01;1000 UTC;0;1012,8;1012,8;1012,4;222;18,7;17,3;18,7;16,4;17,3;15,2;93;92;92;278;1,2;,3;
2024/01/01;1100 UTC;0;1012,6;1012,8;1012,5;659,3;21;16;21;18,7;17,5;16;92;73;73;75;1,6;,6;
2024/01/01;1200 UTC;0;1012,7;1012,8;1012,5;1358,8;23,8;17,2;23,8;20,9;17,2;15,7;75;63;66;166;3,1;,6;
2024/01/01;1300 UTC;0;1012,2;1012,7;1012,2;2333,2;26,3;17,4;26,5;23,8;17,7;15,8;66;54;58;85;2,6;1;
2024/01/01;1400 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1500 UTC;0;1010,6;1011,5;1010,6;3036,5;29;17,1;30;27,2;19,5;15,9;56;47;49;81;4,1;1,2;
2024/01/01;1600 UTC;0;1009,8;1010,6;1009,8;3062,1;31,1;18,4;31,1;28,8;20;17,1;56;45;47;160;4,2;1,4;
2024/01/01;1700 UTC;0;1008,9;1009,8;1008,9;2614,8;31,5;18,3;31,8;30,4;19,7;17;51;43;46;75;4,1;1;
2024/01/01;1800 UTC;0;1008,1;1008,9;1008,1;2746,3;32,6;17,7;33;30,5;19,5;16,3;50;38;41;117;4,3;1,3;
2024/01/01;1900 UTC;0;1007,8;1008,2;1007,8;2148,5;31,6;18,1;33,4;31,3;19,5;17,6;47;39;45;147;4,5;1,4;
2024/01/01;2000 UTC;0;1008;1008;1007,7;1846,5;31,3;19;32,3;30,9;19,9;18,3;50;44;48;151;5,3;1,4;
2024/01/01;2100 UTC;0;1007,7;1008,1;1007,7;956,2;28,6;18,8;31,3;28,6;19,4;18,3;55;47;55;145;4,8;1;
2024/01/01;2200 UTC;0;1007,7;1007,8;1007,6;220,4;26,4;19,3;28,6;26,4;19,4;18,5;65;55;65;111;4,1;,7;
2024/01/01;2300 UTC;0;1008,5;1008,5;1007,7;13,9;25;20,2;26,4;24,9;20,2;19,4;75;65;75;164;2,8;,8;
2024/01/02;0000 UTC;0;1008,9;1008,9;1008,4;;23,6;19,9;25;23,6;20,3;19,9;80;75;80;150;3,1;,4;
2024/01/02;0100 UTC;0;1009,1;1009,1;1008,7;;22,5;20,1;23,6;22,5;20,2;19,9;86;80;86;293;1,4;,5;
2024/01/02;0200 UTC;0;1009,5;1009,6;1009,1;;22,3;20,1;22,7;22,3;20,5;20;88;86;88;189;1,3;,3;
2024/01/02;0300 UTC;0;1009,5;1009,8;1009,5;;21,8;19,8;22,3;21,7;20,1;19,7;89;88;89;80;1,4;,4;
