REGIAO:;S
UF:;RS
ESTACAO:;CAPAO DO LEAO (PELOTAS)
CODIGO (WMO):;A887
LATITUDE:;-31,8025
LONGITUDE:;-52,40722222
ALTITUDE:;13
DATA DE FUNDACAO:;18/07/19
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1015,7;1015,7;1015,4;;18,6;14,7;19,4;18,6;15,3;14,6;79;77;78;95;6,6;2,9;
2024/01/01;0100 UTC;0;1016;1016;1015,6;;18,3;14,5;18,6;18,3;14,6;14,1;79;76;78;98;6,6;3,2;
2024/01/01;0200 UTC;0;1016,1;1016,2;1016;;18,1;14,3;18,3;18,1;14,5;14;79;76;78;88;5,6;2,2;
2024/01/01;0300 UTC;0;1016,1;1016,2;1015,9;;18;14;18,1;18;14,7;14;80;77;78;67;4,6;1,8;
2024/01/01;0400 UTC;0;1015,8;1016,2;1015,7;;17,2;14;18;16,9;15,2;14;88;78;81;60;3;1,6;
2024/01/01;0500 UTC;0;1015;1015,8;1015;;16,9;13,9;17,6;16,8;14,1;13,8;84;78;83;37;3,5;1,3;
2024/01/01;0600 UTC;0;1014,3;1015;1014,3;;16,6;13,4;18;16,6;14;13;83;74;81;8;4,3;2,1;
2024/01/01;0700 UTC;0;1014,1;1014,3;1013,9;;15,5;13,8;16,6;15,5;13,9;13,4;90;81;90;344;3,6;,9;
2024/01/01;0800 UTC;0;1014,3;1014,4;1014,1;;14,9;13,9;15,5;14,8;14,3;13,7;95;90;94;188;1,6;,5;
2024/01/01;0900 UTC;0;1014,4;1014,5;1014,1;35;14,7;14;14,9;14,4;14;13,6;96;94;96;252;1,3;1;
2024/01/01;1000 UTC;0;1015;1015;1014,4;553,7;17,2;15,2;17,2;14,7;15,4;14;96;87;88;239;2,2;1,7;
2024/01/01;1100 UTC;0;1015,6;1015,7;1014,9;1139,6;20,5;16,4;20,5;17,3;16,4;15,1;88;75;77;204;2,2;,6;
2024/01/01;1200 UTC;0;1014,2;1015,6;1014,2;2191,8;23,3;17,3;23,3;20,6;18;15,8;78;68;69;65;7,9;4,4;
2024/01/01;1300 UTC;0;1014,3;1014,6;1014,2;2757,8;24,1;17,6;24,5;23;18,3;16,4;72;65;67;78;8,2;4,5;
2024/01/01;1400 UTC;0;1013,7;1014,3;1013,7;2699,2;24,2;18;24,6;23,7;18,5;17,4;71;65;68;68;8,9;4,8;
2024/01/01;1500 UTC;0;1013,4;1013,7;1013,3;3285;24,7;18,6;25;24,1;19;17,5;71;65;69;80;9,3;5,1;
2024/01/01;1600 UTC;0;1012,9;1013,4;1012,9;3028,9;25,2;18,6;25,5;24,5;19,5;18;70;65;67;84;9,5;5,1;
