REGIAO:;S
UF:;RS
ESTACAO:;SERAFINA CORREA
CODIGO (WMO):;A894
LATITUDE:;-28,70472222
LONGITUDE:;-51,87083332
ALTITUDE:;485,29
DATA DE FUNDACAO:;01/04/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;958,5;958,5;957,7;;18,7;16;19,6;18,7;16,9;16;86;84;84;193;2,3;,7;
2024/01/01;0100 UTC;0;959,4;959,4;958,5;;17,3;16;18,7;17,3;16,2;15,7;92;84;92;253;3,2;,5;
2024/01/01;0200 UTC;0;959,5;959,6;959,4;;16,6;15,9;17,3;16,6;16,3;15,7;96;92;95;139;1,5;,4;
2024/01/01;0300 UTC;0;959,1;959,6;959,1;;16,5;16,1;16,6;16,4;16,1;15,7;97;95;97;223;1,1;,4;
2024/01/01;0400 UTC;0;957,2;959,1;957,2;;16,6;16,3;16,7;16,4;16,3;16;98;97;98;248;2,2;,8;
2024/01/01;0500 UTC;0;957,3;957,5;957,1;;16,4;16;16,6;16,2;16,2;15,7;98;97;98;141;2,2;,9;
2024/01/01;0600 UTC;0;957,2;957,5;957,2;;16,2;15,7;16,7;16,1;16,1;15,4;98;95;97;127;2,3;,7;
2024/01/01;0700 UTC;0;957,2;957,3;957,1;;15,4;14,9;16,5;15,4;15,8;14,9;97;95;97;238;2,9;,2;
2024/01/01;0800 UTC;0;957,6;957,7;957,2;;15;14,8;15,4;15;15,1;14,8;98;97;98;21;1,3;,3;
2024/01/01;0900 UTC;0;957,8;957,8;957,6;26,1;14,9;14,8;15;14,6;14,8;14,4;99;98;99;154;1;,3;
2024/01/01;1000 UTC;0;958,3;958,3;957,8;461,3;17,3;16,4;17,4;14,9;17,2;14,8;99;94;95;355;1,9;,6;
2024/01/01;1100 UTC;0;957,7;958,3;957,7;1305,1;21,4;16,4;21,7;17,3;17,6;16,2;95;72;73;39;2,6;1,1;
2024/01/01;1200 UTC;0;958,1;958,1;957,7;2126,6;24,3;16,6;24,4;21,3;17,6;16,3;75;62;62;7;6;2,2;
2024/01/01;1300 UTC;0;957,8;958,1;957,7;2784,7;26,6;17,8;26,6;24,2;18;16,2;64;56;59;23;4,7;1,7;
2024/01/01;1400 UTC;0;957,4;957,8;957,4;2915;27,1;16,6;28,4;25,5;18,6;16,3;60;52;53;10;4,6;2;
2024/01/01;1500 UTC;0;956,7;957,4;956,7;3375;28,6;17,7;29;27,1;18,8;16,5;57;49;52;48;4,6;2,3;
2024/01/01;1600 UTC;0;955,9;956,7;955,9;3004,2;28,5;16,5;30;28,3;19,3;16,3;54;46;48;176;4,9;,7;
2024/01/01;1700 UTC;0;955,1;955,9;955,1;2537,8;29,4;17,9;30,2;28,2;18,8;16,3;53;44;50;354;3,9;1,3;
2024/01/01;1800 UTC;0;954,6;955,1;954,5;2791,7;31,3;17;31,4;29;18,3;15,8;50;40;42;6;4,2;1,5;
2024/01/01;1900 UTC;0;954,1;954,6;954;2880,1;31,5;15,6;31,7;30,7;17,4;14,4;44;36;38;284;4,2;1,5;
2024/01/01;2000 UTC;0;953,5;954,1;953,5;1936,1;29,6;17,4;32;29,6;17,8;15,1;49;36;48;160;4,8;2,1;
2024/01/01;2100 UTC;0;953,5;953,5;953,3;729,3;27,4;18,3;30,1;27,4;19,4;17,6;59;47;57;196;5,1;1,4;
2024/01/01;2200 UTC;0;954,1;954,1;953,5;355,2;25,8;18,5;27,9;25,8;19,3;18,2;64;57;64;190;4,5;1,5;
2024/01/01;2300 UTC;0;954,4;954,4;954;15;23,5;19,3;25,8;23,5;19,3;18,6;77;64;77;225;3,8;,8;
2024/01/02;0000 UTC;0;955,2;955,2;954,4;;21,9;19,2;23,5;21,9;19,4;19,1;85;77;85;232;1,7;,5;
2024/01/02;0100 UTC;0;955,7;955,7;955,2;;21,1;19,2;22;21,1;19,5;18,9;89;85;89;316;1,5;,2;
2024/01/02;0200 UTC;0;956;956,1;955,7;;21,1;19,6;21,5;20,8;19,7;19,3;93;89;91;119;1,6;,8;
2024/01/02;0300 UTC;0;955,6;956;955,6;;21,6;19,6;21,6;20,7;19,9;19,5;94;88;88;120;1,7;,7;
2024/01/02;0400 UTC;0;955,1;955,6;955,1;;21,3;19,2;21,7;21,1;19,9;19,2;92;88;88;148;2,7;,7;
2024/01/02;0500 UTC;0;954,8;955,1;954,8;;21,1;18,4;21,4;21,1;19,1;18,4;88;84;85;106;2,7;,5;
2024/01/02;0600 UTC;0;954,2;954,8;954,2;;19,9;19;21,1;19,8;19;18,3;95;85;95;190;1,3;,6;
2024/01/02;0700 UTC;0;954,3;954,3;954;;19;18,3;20,4;18,9;19,2;18,2;96;92;96;214;1,5;,3;
2024/01/02;0800 UTC;0;954,3;954,5;954,3;;18,7;18,2;19,1;18,4;18,5;18;97;96;97;204;,8;,3;
2024/01/02;0900 UTC;0;954,7;954,7;954,1;15,3;18,8;18,5;18,8;18,1;18,5;17,7;98;97;98;270;1,1;,2;
2024/01/02;1000 UTC;0;955,1;955,3;954,7;307,6;21,2;19,3;21,2;18,7;19,6;18,4;98;89;89;304;1,2;,4;
2024/01/02;1100 UTC;5;955,6;956,1;954,9;473,4;19,8;18,5;22,8;19,8;19,8;17,7;92;74;92;261;4,2;1,8;
2024/01/02;1200 UTC;,8;956;956;955,4;502,1;20,7;19,9;20,8;19,8;20,1;18,6;96;92;95;109;3,5;1,8;
2024/01/02;1300 UTC;0;955,7;956,1;955,6;2126,6;23,1;19,8;23,6;20,6;21;19,3;95;79;82;117;4,4;2;
2024/01/02;1400 UTC;0;955,3;955,9;955,2;3169,7;25,4;20,1;25,9;23,1;21,5;19,1;86;70;72;100;4,4;1,6;
2024/01/02;1500 UTC;0;954,8;955,4;954,8;2118,4;26,1;20,1;27,2;25,4;21;19;74;63;70;161;3,7;1,2;
2024/01/02;1600 UTC;13,4;955,5;956;954,8;296,8;19,7;18,9;26,1;18,7;20,2;17,9;97;67;95;136;9,8;1,1;
2024/01/02;1700 UTC;,4;954,7;955,5;954,4;1648,3;21,8;20,2;22,7;19,4;21,1;18,6;96;87;91;71;4;1,9;
2024/01/02;1800 UTC;12,8;954,8;955;954,4;1029,8;22,5;20;22,5;20,5;21,1;19,7;98;86;86;49;6,7;2,1;
2024/01/02;1900 UTC;0;954,7;955,1;954,6;1024,3;21,6;18,2;22,5;21;19,6;17,7;85;80;81;7;6,1;1,2;
2024/01/02;2000 UTC;0;954,1;954,7;954;1376,1;22,7;16,8;23,3;21,6;18,4;16,2;81;68;69;37;7,1;2,7;
2024/01/02;2100 UTC;0;954,1;954,2;953,9;810,5;22,4;18,1;23,5;22,4;18,1;16,8;77;68;77;56;5,8;,9;
2024/01/02;2200 UTC;0;955,1;955,1;954,1;322,6;21,1;18;22,4;21,1;18,6;17,9;83;76;83;145;3,3;1,2;
2024/01/02;2300 UTC;0;956;956,1;955,1;15,2;19,9;17,4;21,1;19,9;18,2;17,3;87;83;85;133;3,5;1,3;
2024/01/03;0000 UTC;0;956,2;956,5;955,9;;19,4;16;19,9;19,4;17,3;16;86;80;81;115;3,8;1,3;
2024/01/03;0100 UTC;0;955,8;956,3;955,8;;18,3;16;19,4;17,8;16,7;15,6;91;79;86;89;2,8;,8;
2024/01/03;0200 UTC;0;955,5;955,8;955,5;;17,6;16,5;18,6;17,3;16,7;15,8;93;84;93;28;2,9;1;
2024/01/03;0300 UTC;0;955;955,6;955;;17,3;16,5;18,2;17;16,5;15,7;95;89;95;80;2,7;,4;
2024/01/03;0400 UTC;0;955,2;955,2;954,8;;16,7;16,1;17,6;16,6;16,8;15,8;96;93;96;202;1,4;,5;
2024/01/03;0500 UTC;0;954,9;955,2;954,9;;16,6;16,1;17,2;16,5;16,7;15,9;97;96;97;115;3;,5;
2024/01/03;0600 UTC;0;954,6;954,9;954,5;;16,5;16,1;16,8;16,2;16,4;15,8;98;97;98;126;2,5;,7;
2024/01/03;0700 UTC;0;954,6;954,7;954,4;;16;15,7;16,6;16;16,3;15,7;98;98;98;150;2,1;,3;
2024/01/03;0800 UTC;0;954,6;954,6;954,4;;15,7;15,5;16;15,7;15,8;15,5;99;98;99;238;,8;,5;
2024/01/03;0900 UTC;0;955,4;955,4;954,6;22,3;15,6;15,4;15,7;15,4;15,5;15,2;99;99;99;125;1;,5;
2024/01/03;1000 UTC;0;956,2;956,2;955,4;277,2;16,9;16,8;17;15,5;16,8;15,4;99;99;99;124;2,2;,6;
2024/01/03;1100 UTC;,2;956,9;956,9;956,2;987,1;19,5;18,3;19,5;16,7;18,7;16,5;99;92;93;182;2,7;1,1;
2024/01/03;1200 UTC;0;956,8;956,9;956,7;2058,4;22,1;19;22,1;19,1;19;17,3;92;80;83;136;3,3;1,2;
2024/01/03;1300 UTC;0;956,7;956,9;956,6;2542;24,8;19,7;24,8;21,8;19,7;18,1;83;71;73;128;3;1,2;
2024/01/03;1400 UTC;0;957;957,1;956,7;2022,2;24,7;19,6;25,4;24,2;20,3;18;76;67;73;211;2,9;1,2;
2024/01/03;1500 UTC;0;956,4;957;956,3;3899,3;27,4;19;27,6;24,7;20,9;18,2;75;60;60;187;3,4;1,3;
