REGIAO:;S
UF:;SC
ESTACAO:;INDAIAL
CODIGO (WMO):;A817
LATITUDE:;-26,91361111
LONGITUDE:;-49,26805554
ALTITUDE:;72,24
DATA DE FUNDACAO:;02/07/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1007,7;1007,7;1007,1;;23,3;18,6;23,5;23,3;18,7;18,5;75;74;75;71;4;1,6;
2024/01/01;0100 UTC;0;1008,6;1008,6;1007,7;;23,1;18,8;23,4;23;18,8;18,5;77;74;77;52;3,7;,5;
2024/01/01;0200 UTC;0;1008,5;1008,7;1008,4;;22,7;19;23,1;22,7;19,1;18,8;80;77;80;40;2,2;,7;
2024/01/01;0300 UTC;0;1008,4;1008,6;1008,3;;22,1;19,3;22,7;22,1;19,3;18,9;84;80;84;217;1,7;0;
2024/01/01;0400 UTC;0;1008;1008,4;1008;;21,8;19,5;22,3;21,8;19,6;19,2;87;84;87;332;1,7;1;
2024/01/01;0500 UTC;,8;1007,4;1008;1007,4;;21,4;19,6;21,9;21,4;19,7;19,5;90;87;90;271;1,7;,1;
2024/01/01;0600 UTC;0;1007;1007,4;1006,9;;21,2;19,5;21,5;21,2;19,8;19,4;90;90;90;104;2,2;,3;
2024/01/01;0700 UTC;0;1006,8;1007;1006,8;;21,2;19,8;21,3;21,1;19,9;19,5;92;90;92;346;1,7;,3;
2024/01/01;0800 UTC;,2;1007;1007,1;1006,8;;21;19,9;21,2;20,9;19,9;19,7;93;92;93;1;1,2;,2;
2024/01/01;0900 UTC;0;1007,5;1007,5;1007;6,3;21,2;20,1;21,2;20,9;20,1;19,8;94;93;94;351;1,2;0;
2024/01/01;1000 UTC;0;1007,6;1007,6;1007,4;258,4;21,6;20,3;21,6;21,1;20,4;20;94;92;92;17;1,3;,2;
2024/01/01;1100 UTC;0;1007,9;1008;1007,6;300;21,7;20,1;21,8;21,4;20,3;19,8;92;90;90;133;2,9;1,6;
2024/01/01;1200 UTC;0;1008,1;1008,3;1007,9;856,1;22,8;20,3;22,9;21,7;20,6;20;90;85;85;21;2,9;,3;
2024/01/01;1300 UTC;0;1007,6;1008,1;1007,6;1134,7;23,8;20,1;24,1;22,8;21;20,1;86;79;80;67;2,8;,5;
2024/01/01;1400 UTC;0;1008;1008;1007,6;639,3;23,6;20,6;23,9;23,3;20,6;20;83;80;83;106;4,8;1,8;
2024/01/01;1500 UTC;1;1007,8;1008,1;1007,8;1380,1;23,1;21;23,7;22,8;21,9;20,4;90;83;88;67;4;,8;
2024/01/01;1600 UTC;,2;1006,6;1007,8;1006,6;2710,2;24,9;21,2;25,3;22,9;22,3;20,8;89;80;80;355;3,7;1,2;
2024/01/01;1700 UTC;0;1005,4;1006,6;1005,4;3118,6;27,1;21,6;27,2;24,9;22;20,8;81;71;72;95;5,7;2,1;
2024/01/01;1800 UTC;0;1004,9;1005,4;1004,8;2354,7;27,1;20,8;28,4;27,1;22,1;20,7;72;65;69;107;7,2;2,5;
2024/01/01;1900 UTC;0;1004,2;1005,1;1004,2;940,4;27;21,4;27,1;26,1;21,4;20,3;72;68;71;127;6,3;3,1;
2024/01/01;2000 UTC;0;1004;1004,2;1004;683,1;26,1;20,8;27,5;25,9;21,6;20,4;73;68;73;111;6,3;2,5;
2024/01/01;2100 UTC;0;1004,3;1004,4;1003,7;393,1;25,5;20,7;26,5;25,4;21;20,4;75;71;75;104;7,8;1,8;
2024/01/01;2200 UTC;0;1003,9;1004,3;1003,8;123;24,7;20,5;25,5;24,7;20,7;20,5;77;75;77;101;5,4;1,1;
2024/01/01;2300 UTC;0;1004,7;1004,7;1003,9;,4;24,5;20,6;24,8;24,5;20,7;20,5;79;77;79;93;5,6;1,7;
2024/01/02;0000 UTC;0;1005,5;1005,5;1004,7;;24,2;20,3;24,5;24,2;20,6;20,3;79;79;79;83;5,1;2,3;
2024/01/02;0100 UTC;0;1006,5;1006,5;1005,5;;23,9;20,2;24,2;23,9;20,4;20,2;80;79;80;41;5;,8;
2024/01/02;0200 UTC;0;1006,5;1006,9;1006,5;;23,7;20,3;23,9;23,7;20,4;20,2;82;80;81;96;3,9;1,2;
2024/01/02;0300 UTC;0;1005,8;1006,5;1005,8;;23,3;20,2;23,7;23,3;20,4;20,2;83;81;83;45;3,5;1,1;
2024/01/02;0400 UTC;0;1005,1;1005,8;1005;;23,3;20,2;23,4;23,2;20,2;20,1;83;82;83;37;2,8;1;
2024/01/02;0500 UTC;0;1004,4;1005,1;1004,4;;23,1;20,4;23,3;23;20,4;20,2;85;83;85;116;3,5;,2;
2024/01/02;0600 UTC;0;1003,9;1004,4;1003,9;;22,6;20,1;23,1;22,6;20,4;20,1;86;84;86;17;1,5;,2;
2024/01/02;0700 UTC;0;1004;1004,1;1003,9;;21,6;19,7;22,6;21,6;20,2;19,7;89;86;89;17;,8;,1;
2024/01/02;0800 UTC;0;1004,5;1004,5;1003,9;;21,3;19,8;21,6;21,3;20;19,7;91;89;91;227;1,9;,4;
2024/01/02;0900 UTC;0;1004,8;1004,8;1004,5;27,1;21,1;19,8;21,3;21;19,9;19,6;92;91;92;251;1,8;1;
2024/01/02;1000 UTC;0;1005;1005,1;1004,8;373,6;22,6;20,9;22,6;21,1;20,9;19,8;92;90;90;295;3,1;,5;
2024/01/02;1100 UTC;0;1005,3;1005,4;1005;1201,2;24,5;21,1;24,6;22,6;21,3;20,7;90;81;82;287;1,6;,2;
2024/01/02;1200 UTC;0;1004,8;1005,3;1004,8;1892,4;26,2;21,3;26,2;24,5;21,6;20,9;82;75;75;84;3,3;1,1;
2024/01/02;1300 UTC;0;1004,5;1004,8;1004,5;1568,7;26,5;20,8;27;26,2;21,6;20,6;75;70;71;81;3,7;1,3;
2024/01/02;1400 UTC;0;1004,2;1004,5;1004,2;2436,9;28,1;21,3;28,2;26,5;21,3;20,2;71;64;66;83;5,5;1,6;
2024/01/02;1500 UTC;0;1003,9;1004,2;1003,8;3008,8;29,6;20,9;29,8;28,1;21,8;20,2;67;58;60;121;6,5;2,3;
2024/01/02;1600 UTC;0;1002,9;1003,9;1002,9;3282,4;29,7;20,6;30,5;29,2;21,7;20,2;62;56;58;134;6,7;2,6;
2024/01/02;1700 UTC;0;1002,4;1002,9;1002,4;2356,7;29,6;20,8;30,7;29,3;21,3;20,3;60;56;59;105;7,7;3,2;
2024/01/02;1800 UTC;1,4;1002,8;1002,9;1002,4;398,9;25,3;21,2;29,6;25,3;21,2;20,6;78;59;78;96;8,5;1,2;
2024/01/02;1900 UTC;7,4;1002,9;1003,1;1002,8;177,4;23,7;21,6;25,3;23,6;21,8;20,9;88;78;88;23;3,5;,6;
2024/01/02;2000 UTC;,4;1002,8;1002,9;1002,3;314,2;24;22;24,1;23,7;22,2;21,6;90;88;89;249;2,3;1,1;
2024/01/02;2100 UTC;0;1002,7;1002,9;1002,7;164,6;23,5;21,1;24,3;23,4;22,4;21;90;86;87;172;3,2;1,1;
2024/01/02;2200 UTC;,6;1003,6;1003,6;1002,7;34,1;23,4;21,7;23,7;23,3;21,7;21,1;90;87;90;17;3,2;,4;
2024/01/02;2300 UTC;6,4;1004,3;1004,3;1003,6;,4;22,8;21,6;23,5;22,8;21,8;21,5;93;90;93;15;2,5;1,3;
2024/01/03;0000 UTC;7,2;1004,8;1004,8;1004,3;;22,3;21,3;22,8;22,3;21,6;21,3;94;93;94;305;2,7;,2;
2024/01/03;0100 UTC;1,4;1004,8;1004,9;1004,7;;22,5;21,6;22,5;22,3;21,6;21,3;95;94;95;73;1,5;,1;
2024/01/03;0200 UTC;0;1004,8;1004,8;1004,6;;21,9;21;22,5;21,9;21,6;21;95;94;94;115;3,1;1,4;
2024/01/03;0300 UTC;,2;1004,2;1004,9;1004,2;;21,3;20,2;21,9;21,3;21;20,2;94;93;93;37;3,2;1,2;
