REGIAO:;S
UF:;SC
ESTACAO:;BOM JARDIM DA SERRA - MORRO DA IGREJA
CODIGO (WMO):;A845
LATITUDE:;-28,12694443
LONGITUDE:;-49,47972221
ALTITUDE:;1790,38
DATA DE FUNDACAO:;17/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;,2;822,5;822,5;821,8;0;11,1;10,6;11,2;11;10,7;10,5;97;97;97;167;3,4;1,2;
2024/01/01;0100 UTC;,2;822,8;822,8;822,5;0;11,1;10,6;11,1;11;10,7;10,5;97;97;97;129;3,3;1,9;
2024/01/01;0200 UTC;0;823;823,1;822,8;,1;11,2;10,8;11,3;11;10,8;10,5;97;97;97;70;3,1;1,4;
2024/01/01;0300 UTC;0;822,8;823,1;822,8;,3;11,1;10,6;11,3;11;10,8;10,6;97;97;97;5;6,8;4,5;
2024/01/01;0400 UTC;,2;822,1;822,8;822,1;,3;10,8;10,3;11,2;10,8;10,7;10,3;97;97;97;335;11,4;8,8;
2024/01/01;0500 UTC;0;821,6;822,2;821,6;,1;10,5;10;10,8;10,4;10,4;10;97;97;97;337;13;9,2;
2024/01/01;0600 UTC;0;821;821,6;821;,1;10,2;9,8;10,5;10;10,1;9,6;97;97;97;325;12,7;10,1;
2024/01/01;0700 UTC;0;821;821,1;820,9;,1;10,2;9,7;10,5;10,1;10;9,7;97;97;97;325;12,6;10,8;
2024/01/01;0800 UTC;0;821,2;821,4;821;0;10;9,5;10,2;10;9,7;9,5;97;97;97;327;12,6;9,8;
2024/01/01;0900 UTC;0;821,5;821,5;821,2;36,1;10;9,6;10;9,9;9,6;9,5;97;97;97;330;12,6;8,8;
2024/01/01;1000 UTC;0;822;822;821,5;258,2;10,4;9,9;10,4;10;10;9,6;97;97;97;328;12,3;9,3;
2024/01/01;1100 UTC;,2;822,2;822,3;822;1094,9;11,4;11;11,4;10,4;11;10;97;97;97;330;14;10,2;
2024/01/01;1200 UTC;0;822,2;822,4;822,1;1532,4;11,8;11,4;12;11,2;11,5;10,8;97;97;97;329;14,2;10,1;
2024/01/01;1300 UTC;0;822,5;822,5;822,2;2315,3;13,6;13;13,8;11,8;13,2;11,3;97;96;96;325;14,2;9;
2024/01/01;1400 UTC;0;822,6;822,7;822,5;2971,4;14,4;12,7;15,1;13,6;13,9;12,3;96;87;89;335;12,3;8,4;
2024/01/01;1500 UTC;0;822,6;822,7;822,4;3635,4;16,5;12,7;16,8;14,2;14,1;12,3;92;78;78;330;11,4;6,8;
2024/01/01;1600 UTC;0;822,2;822,6;822,2;3927,9;18;13,3;18;15,5;13,9;11,5;83;70;74;358;9,7;4,4;
2024/01/01;1700 UTC;0;821,6;822,2;821,6;2854,2;18,8;12,6;19,3;16,4;14,9;10,7;80;65;67;342;8,5;4,4;
2024/01/01;1800 UTC;0;821,3;821,6;821,3;3001,4;17;12,5;20,6;17;14,6;10,7;76;57;75;345;7,9;4,6;
2024/01/01;1900 UTC;0;820,8;821,3;820,8;1888,9;17;14,7;19,2;17;14,9;10,5;86;62;86;10;8,8;2,3;
2024/01/01;2000 UTC;0;820,4;820,8;820,4;1181,6;15,6;14,2;18,4;15,6;15,6;11,8;91;73;91;58;6,1;1,9;
2024/01/01;2100 UTC;0;820,4;820,5;820,2;327,3;15;13,8;15,9;15;14,7;13,2;94;84;92;234;4,2;1,1;
2024/01/01;2200 UTC;0;820,4;820,5;820,2;52,6;14,8;14,1;15,3;14,8;14,3;13,6;95;91;95;231;3,3;1,6;
2024/01/01;2300 UTC;0;820,8;820,8;820,4;4,8;14,6;13,9;14,8;14,5;14;13,7;96;95;96;324;5,9;3,1;
2024/01/02;0000 UTC;0;821,3;821,4;820,8;,1;13,8;13,2;14,6;13,7;13,9;13,1;96;96;96;322;5,9;4,3;
2024/01/02;0100 UTC;0;821,3;821,6;821,1;,1;13,4;12,8;13,8;13,4;13,2;12,8;96;96;96;327;7,7;5,7;
2024/01/02;0200 UTC;0;821,2;821,5;821,2;,6;12,8;12,3;13,4;12,8;12,8;12,3;97;96;97;332;12;9,5;
2024/01/02;0300 UTC;0;821;821,3;820,9;,1;12,4;11,9;12,8;12,3;12,3;11,8;97;97;97;339;15,1;11,4;
2024/01/02;0400 UTC;0;820,2;821;820,2;,1;12,3;11,8;12,4;12,1;11,8;11,6;97;97;97;330;15,9;11,4;
2024/01/02;0500 UTC;,2;819,8;820,3;819,8;,1;12,6;12,1;12,6;12,3;12,1;11,8;97;97;97;329;15;11;
2024/01/02;0600 UTC;,6;819,3;819,9;819,3;1;11,9;11,4;12,7;11,9;12,2;11,4;97;97;97;331;16,1;12;
2024/01/02;0700 UTC;0;819,4;819,6;819;0;11,8;11,3;11,9;11,6;11,4;11,1;97;97;97;324;16,1;11,9;
2024/01/02;0800 UTC;,2;820;820;819,4;,1;11,8;11,4;11,9;11,7;11,4;11,2;97;97;97;328;15;11,7;
2024/01/02;0900 UTC;0;820,8;820,8;819,9;5,4;11,8;11,3;11,9;11,8;11,5;11,3;97;97;97;317;14,8;5,6;
2024/01/02;1000 UTC;,2;821,3;821,3;820,8;38,8;12;11,5;12;11,7;11,5;11,3;97;97;97;318;8,4;4,3;
2024/01/02;1100 UTC;0;820,9;821,5;820,8;641,9;12,3;11,9;12,8;11,7;12,4;11,3;97;97;97;330;12,4;7,3;
2024/01/02;1200 UTC;0;820,4;820,9;820,4;1624,2;13,7;13,2;13,7;12,2;13,2;11,7;97;97;97;333;10,8;8,3;
2024/01/02;1300 UTC;0;820,3;820,6;820,3;2752,6;15,3;13,9;16,1;13,4;14,5;12,9;97;87;91;334;10,3;6,8;
2024/01/02;1400 UTC;0;820,3;820,5;820,2;2310,7;15,2;13;16,7;14,9;15;12,9;91;82;86;336;10,3;7,7;
2024/01/02;1500 UTC;3,8;821;821,1;820,3;238,2;12,8;12,1;15,2;12,8;13;12,1;96;86;96;307;13,7;11,3;
2024/01/02;1600 UTC;4,8;820,5;821,1;820,5;697;13,1;12,4;13,3;11,3;12,6;10,8;96;95;95;178;13,7;3,7;
2024/01/02;1700 UTC;,2;820,4;820,7;820,3;1691,7;13,9;12;14,3;12,9;13,5;11;96;83;89;208;7,3;,8;
2024/01/02;1800 UTC;,6;820,2;820,4;820,2;509,1;12,8;12;14,1;12,6;12,8;11;95;84;95;311;6,4;4,6;
2024/01/02;1900 UTC;1,8;820;820,4;820;299,7;12,3;11,4;12,9;12,1;12,3;11,3;96;94;94;260;6,9;3,6;
2024/01/02;2000 UTC;,6;819,7;820;819,5;440,9;12,6;11,9;12,8;12,3;12;10,3;95;85;95;40;6,1;1,9;
2024/01/02;2100 UTC;,2;819,5;819,8;819,4;189,6;12,3;10,7;12,6;12,3;11,9;10,7;96;90;90;88;3;1,2;
2024/01/02;2200 UTC;,2;820;820;819,5;35,3;11,3;10,7;12,4;11,3;11,5;10,5;96;89;96;135;4,9;2,8;
2024/01/02;2300 UTC;0;820,5;820,6;820;3,1;11,5;11;11,7;10,8;11,2;10,2;97;96;97;88;6,3;4,6;
2024/01/03;0000 UTC;0;820,7;820,8;820,4;0;11,8;11,3;11,8;11,5;11,4;11;97;97;97;41;6,3;4,2;
2024/01/03;0100 UTC;,2;820,7;821;820,7;,1;12;11,5;12,1;11,8;11,6;11,3;97;97;97;59;6,4;3,7;
2024/01/03;0200 UTC;,2;820,4;820,8;820,4;,2;12,1;11,6;12,1;11,9;11,7;11,4;97;97;97;25;8,1;6,5;
2024/01/03;0300 UTC;0;820;820,4;820;0;12;11,6;12,1;12;11,6;11,5;97;97;97;11;8,7;5,5;
2024/01/03;0400 UTC;0;819,5;820;819,5;0;12;11,5;12,1;12;11,6;11,5;97;97;97;349;10,2;7,8;
2024/01/03;0500 UTC;,2;819;819,5;819;1,5;11,7;11,2;12;11,7;11,6;11,2;97;97;97;330;11,6;9,2;
2024/01/03;0600 UTC;0;818,4;819;818,4;0;11,6;11,2;11,7;11,5;11,3;11,1;97;97;97;336;13,6;10,3;
2024/01/03;0700 UTC;,2;818,6;818,7;818,4;,1;12;11,5;12;11,6;11,5;11,2;97;97;97;336;13,6;9,6;
2024/01/03;0800 UTC;,2;818,9;818,9;818,6;,1;12,1;11,6;12,1;12;11,6;11,5;97;97;97;344;12,4;7,7;
2024/01/03;0900 UTC;,2;819,7;819,7;818,9;30;12,3;11,8;12,3;12;11,8;11,6;97;97;97;348;9,9;5,2;
2024/01/03;1000 UTC;,4;820,3;820,3;819,7;251,2;12,7;12,3;12,8;12,3;12,3;11,8;97;97;97;36;8,2;3,3;
2024/01/03;1100 UTC;0;820,8;820,8;820,3;554,9;13,3;12,8;13,4;12,7;13;12,2;97;97;97;38;5,6;1,8;
2024/01/03;1200 UTC;,8;821,2;821,2;820,8;780,8;13,7;13,2;13,7;12,8;13,2;12,3;97;97;97;183;4;1,3;
2024/01/03;1300 UTC;1,2;821,3;821,3;821,2;1182,1;13,9;13,4;14,6;13,2;14,2;12,7;97;97;97;120;5,2;2,4;
2024/01/03;1400 UTC;1,8;821,2;821,3;821,2;1286,8;14,6;14,2;14,6;13,2;14,2;12,7;97;97;97;107;5,3;3,3;
2024/01/03;1500 UTC;,4;821,2;821,3;821,1;1793,9;14,2;13,8;14,8;13,6;14,1;13,1;97;97;97;137;5,1;1,7;
2024/01/03;1600 UTC;1,8;821;821,2;820,9;949,8;13,8;13,3;14,3;13,4;13,7;12,9;97;97;97;191;4,5;1,6;
2024/01/03;1700 UTC;3,6;820,9;821;820,9;812,1;13,3;12,8;14,2;12,9;13,8;12,4;97;97;97;216;5,4;1,6;
2024/01/03;1800 UTC;1,4;821;821;820,8;817,8;12,7;12,2;14,2;12,7;13,8;12,2;97;97;97;138;7,1;2,8;
2024/01/03;1900 UTC;3,2;820,8;821;820,7;391,2;12,5;12;13;12,4;12,5;11,9;97;97;97;172;6,5;4;
2024/01/03;2000 UTC;1,6;820,5;820,8;820,4;292,5;11,8;11,4;12,5;11,8;12;11,4;97;97;97;181;7,3;4,3;
2024/01/03;2100 UTC;,6;820,8;820,8;820,5;263,7;11,4;10,9;12;11,3;11,5;10,9;97;97;97;160;7,3;3,8;
2024/01/03;2200 UTC;1;821,3;821,5;820,8;62,1;11;10,6;11,4;11;11;10,5;97;97;97;179;8,6;6,1;
2024/01/03;2300 UTC;1;821,1;821,5;821,1;2,3;10,9;10,5;11;10,9;10,6;10,4;97;97;97;134;8,6;4,9;
2024/01/04;0000 UTC;0;820,9;821,3;820,6;0;11,2;10,8;11,3;10,9;10,9;10,5;97;97;97;84;9,3;7,5;
2024/01/04;0100 UTC;,2;821,3;821,3;820,9;,3;11,1;10,7;11,4;11,1;11;10,7;97;97;97;82;9,5;6,3;
2024/01/04;0200 UTC;0;821,3;821,5;821,2;,1;11,1;10,7;11,3;11,1;10,8;10,6;97;97;97;95;10,7;6,4;
2024/01/04;0300 UTC;0;821,1;821,4;821,1;,4;11,2;10,8;11,3;11;10,9;10,6;97;97;97;41;10,9;6,7;
