REGIAO:;S
UF:;SC
ESTACAO:;ITAPOA
CODIGO (WMO):;A851
LATITUDE:;-26,08138888
LONGITUDE:;-48,64166666
ALTITUDE:;6,18
DATA DE FUNDACAO:;06/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;,8;1015,7;1015,7;1015,2;;21,1;20,4;21,4;21,1;20,5;20,3;95;95;95;284;3,1;1,4;
2024/01/01;0100 UTC;0;1016,2;1016,2;1015,7;;21,1;20,3;21,1;21;20,4;20,2;95;95;95;237;3;0;
2024/01/01;0200 UTC;0;1016,3;1016,5;1016,2;;21;20,3;21,1;21;20,3;20,3;96;95;96;275;,7;,1;
2024/01/01;0300 UTC;0;1015,8;1016,3;1015,8;;21;20,4;21,1;21;20,4;20,3;96;96;96;107;,9;0;
2024/01/01;0400 UTC;,6;1015,3;1015,8;1015,3;;21;20,4;21,1;21;20,4;20,3;96;96;96;260;,8;0;
2024/01/01;0500 UTC;0;1014,8;1015,4;1014,8;;21;20,4;21;21;20,4;20,3;96;96;96;242;1;,3;
2024/01/01;0600 UTC;0;1014,4;1014,8;1014,4;;20,6;20;21;20,6;20,3;20;96;96;96;273;1,7;,6;
2024/01/01;0700 UTC;0;1014,1;1014,4;1014,1;;20,8;20,2;20,8;20,6;20,2;20;96;96;96;81;1,5;0;
2024/01/01;0800 UTC;0;1014,4;1014,4;1014,1;;20,8;20,2;21;20,8;20,4;20,2;96;96;96;220;1,7;,7;
2024/01/01;0900 UTC;0;1014,5;1014,6;1014,4;18,1;20,8;20,3;20,8;20,7;20,3;20,1;97;96;97;293;1,7;,3;
