REGIAO:;S
UF:;SC
ESTACAO:;CACADOR
CODIGO (WMO):;A859
LATITUDE:;-26,819156
LONGITUDE:;-50,98552
ALTITUDE:;944,26
DATA DE FUNDACAO:;19/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;908,9;908,9;908,3;;18,9;14,6;19,5;18,8;14,6;14,3;76;73;76;67;4,3;2,1;
2024/01/01;0100 UTC;0;909,9;909,9;908,9;;18,7;15;19;18,6;15,1;14,6;80;76;79;55;4,6;,5;
2024/01/01;0200 UTC;0;910,6;910,6;909,9;;18;14,5;18,7;18;14,9;14,5;81;79;80;29;5;2;
2024/01/01;0300 UTC;0;910,3;910,6;910,3;;17,4;14,4;18,1;17,3;14,5;14,3;83;79;83;60;5,4;1,2;
2024/01/01;0400 UTC;0;910,1;910,4;910,1;;17,2;14,1;17,4;17,2;14,6;14,1;85;82;82;62;4,1;2;
2024/01/01;0500 UTC;0;909,8;910,1;909,7;;16,9;13,9;17,2;16,9;14,1;13,8;83;81;82;56;6,2;1,4;
2024/01/01;0600 UTC;0;909,5;909,8;909,4;;16,9;13,7;16,9;16,8;13,9;13,6;83;81;82;33;5,5;2,2;
2024/01/01;0700 UTC;0;908,6;909,5;908,6;;16,8;13,7;16,9;16,8;13,8;13,6;83;81;82;31;7,1;3,3;
2024/01/01;0800 UTC;0;908,9;909;908,6;;16,7;13,6;16,8;16,6;13,8;13,6;83;81;82;28;7,8;3,5;
2024/01/01;0900 UTC;0;909,5;909,6;908,9;10,2;16,8;13,6;16,8;16,7;13,7;13,6;83;81;81;21;7,8;2,9;
2024/01/01;1000 UTC;0;910,2;910,2;909,5;100,4;17;14,2;17;16,8;14,2;13,6;84;81;83;46;6,6;1,6;
2024/01/01;1100 UTC;0;910,3;910,5;910,2;331,4;17,6;13,7;17,6;17;14,1;13,6;83;77;78;35;8,2;3,5;
2024/01/01;1200 UTC;0;910,8;910,8;910,3;507,3;18,1;14,1;18,2;17,6;14,3;13,6;80;77;78;33;7,1;2,2;
2024/01/01;1300 UTC;0;910,4;910,8;910,4;1361,7;20,1;13,5;21,4;18;15,5;13,5;79;64;66;19;5,6;2,3;
2024/01/01;1400 UTC;0;910;910,5;910;2699,2;23,4;14,2;24,1;20,1;16,2;13,6;69;56;56;32;5,6;2,5;
2024/01/01;1500 UTC;0;909,5;910,1;909,5;3147,9;24,2;14,7;24,9;22,5;15,9;13,7;62;53;55;1;6,1;2,2;
2024/01/01;1600 UTC;0;908,6;909,5;908,5;3059,1;25,3;14,9;26,5;23,7;16,1;13,8;61;49;53;20;6,2;2,2;
2024/01/01;1700 UTC;0;907,9;908,6;907,9;2729,7;25,2;14,8;26,1;24,4;15,7;13,4;54;47;53;17;5,9;2;
2024/01/01;1800 UTC;0;907;907,9;907;2530,9;26,2;13,1;27,6;25,1;15,4;12,1;53;41;44;307;5,1;1,7;
2024/01/01;1900 UTC;0;906,3;907;906,3;1188,7;25,8;13,8;26,5;25,7;14,3;12,3;49;43;47;333;5,1;,4;
2024/01/01;2000 UTC;0;906;906,4;905,9;1122,8;25,2;14,6;27,1;25,1;15,6;13;53;44;52;37;4,7;1;
2024/01/01;2100 UTC;0;905,8;906;905,8;417,3;24,7;14,8;25,2;24,3;15,5;14,3;56;52;54;35;4,3;2,1;
2024/01/01;2200 UTC;0;906,2;906,2;905,7;160,2;22,5;14,9;24,7;22,5;15,2;14,4;62;54;62;43;5,6;,8;
2024/01/01;2300 UTC;0;907;907;906,2;,2;20;15,6;22,5;19,7;15,7;14,9;77;62;76;118;2,8;0;
2024/01/02;0000 UTC;0;907,8;907,8;907;;18,7;15,6;20;18,2;15,8;15,3;85;75;82;79;2,9;1,6;
2024/01/02;0100 UTC;0;908,1;908,3;907,8;;19,1;15,6;19,7;18,8;15,7;15,3;81;77;80;64;5;1,1;
2024/01/02;0200 UTC;0;908,4;908,5;908,1;;19;15,8;19,5;18,9;16;15,6;82;80;82;39;6,3;2,3;
2024/01/02;0300 UTC;0;908,2;908,5;908,2;;18,8;15,4;19,1;18,7;15,8;15,4;82;81;81;22;6,2;2,5;
2024/01/02;0400 UTC;0;907,7;908,2;907,7;;18,1;14,9;18,7;18,1;15,2;14,8;82;80;81;30;5,7;1,7;
2024/01/02;0500 UTC;0;907,2;907,7;907,2;;18,2;14,5;18,3;18,1;14,9;14,5;82;79;79;32;6,7;2,6;
2024/01/02;0600 UTC;0;907,2;907,2;907,1;;17,9;14,5;18,2;17,8;14,7;14,5;82;79;80;34;7;2,2;
2024/01/02;0700 UTC;0;907,4;907,4;907;;17,9;14,1;18;17,8;14,5;14,1;81;78;79;29;6,1;2;
