REGIAO:;S
UF:;SC
ESTACAO:;CURITIBANOS
CODIGO (WMO):;A860
LATITUDE:;-27,2886111
LONGITUDE:;-50,60416666
ALTITUDE:;978,1
DATA DE FUNDACAO:;28/02/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;905,5;905,5;905;;18,6;15,7;19,4;18,6;15,7;15,5;83;78;83;66;8,2;4,7;
2024/01/01;0100 UTC;0;906,2;906,2;905,5;;18,1;15,6;18,6;18,1;15,8;15,6;85;83;85;70;8,7;5,1;
2024/01/01;0200 UTC;0;907;907;906,1;;17,8;15,3;18,1;17,8;15,6;15,3;87;85;85;71;8,9;3,7;
2024/01/01;0300 UTC;0;907;907;906,9;;17,5;15;17,8;17,5;15,3;15;87;85;85;69;8,5;4;
2024/01/01;0400 UTC;0;906,5;907;906,5;;17,1;14,7;17,5;17,1;15;14,7;87;85;86;59;7,1;4,3;
2024/01/01;0500 UTC;0;906,1;906,5;906,1;;16,7;14,4;17,1;16,6;14,7;14,2;87;85;86;58;7,5;3,4;
2024/01/01;0600 UTC;0;905,7;906,2;905,7;;16,8;14,2;16,9;16,7;14,4;14,1;86;84;85;43;7,6;2,7;
2024/01/01;0700 UTC;0;905,4;905,7;905,3;;16,8;14,3;16,8;16,8;14,4;14,2;86;84;85;41;7,8;4,5;
2024/01/01;0800 UTC;0;905,4;905,4;905,1;;16,4;14;16,9;16,4;14,3;13,9;85;83;85;47;9,5;4;
2024/01/01;0900 UTC;0;906,1;906,1;905,4;24,7;16,4;14,1;16,5;16,1;14,2;13,9;87;85;86;44;7,2;4,1;
