REGIAO:;S
UF:;SC
ESTACAO:;RIO NEGRINHO
CODIGO (WMO):;A862
LATITUDE:;-26,2486111
LONGITUDE:;-49,57416666
ALTITUDE:;856
DATA DE FUNDACAO:;22/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;919,8;919,8;919,3;;17,5;16,5;18;17,5;16,8;16,5;94;92;94;91;5,8;2,2;
2024/01/01;0100 UTC;0;920,6;920,6;919,8;;17,4;16,5;17,5;17,2;16,6;16,4;96;94;94;101;6;2,2;
2024/01/01;0200 UTC;0;920,7;921;920,6;;17,5;16,5;17,5;17,4;16,5;16,4;94;93;94;91;6;1,5;
2024/01/01;0300 UTC;0;920,4;920,7;920,4;;17,5;16,8;17,6;17,4;16,8;16,5;96;94;95;97;4,3;,7;
2024/01/01;0400 UTC;0;920,3;920,5;920,3;;16,6;16,2;17,5;16,6;16,8;16,2;98;95;98;102;2,8;0;
2024/01/01;0500 UTC;0;920,1;920,3;919,9;;15,8;15,8;16,6;15,8;16,2;15,8;100;98;100;155;1,7;,6;
2024/01/01;0600 UTC;0;919,4;920,1;919,4;;15,7;15,7;15,8;15,5;15,8;15,5;100;100;100;86;2,3;,7;
2024/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1000 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1100 UTC;0;920,1;;;339,3;18,7;16,3;;;;;;;86;49;;2,3;
2024/01/01;1200 UTC;0;920,5;920,5;920,1;1031,6;18,9;16,5;19,1;18,2;16,8;15,8;88;85;86;3;6,9;1,6;
2024/01/01;1300 UTC;0;920,3;920,5;920,3;1306,7;20;16,5;20,5;18,8;17,6;16,2;86;80;80;347;3,5;,3;
2024/01/01;1400 UTC;0;920,2;920,4;920,2;1889,4;21,1;16,5;22,3;20;18,2;16,5;83;72;75;346;4,3;1,5;
2024/01/01;1500 UTC;0;919,8;920,3;919,8;2343,8;23;16,8;23,1;21;17,9;16,2;79;67;68;62;5;1,7;
2024/01/01;1600 UTC;0;919,1;919,8;919;2442;23,7;16,7;24,1;22,8;17,5;15,7;69;62;65;14;5,3;1,8;
2024/01/01;1700 UTC;0;918;919,1;918;3801,8;26;16,3;26,5;23,2;18,2;15,6;68;53;55;9;5,2;1,7;
2024/01/01;1800 UTC;0;917,4;918;917,4;2975,6;26,7;15,6;27,7;25;18,2;14,4;59;48;51;352;6;1,5;
2024/01/01;1900 UTC;0;916,8;917,4;916,8;2129,2;24,4;18;26,9;24,2;18,2;15,2;68;49;68;147;7;2;
2024/01/01;2000 UTC;0;916,3;916,9;916,3;1808,5;24,7;18,4;25,6;23,9;18,8;17,9;70;64;68;98;7,4;2,9;
2024/01/01;2100 UTC;0;916,9;917;916,1;1006,2;21,9;18,5;24,7;21,9;19,2;18,1;82;68;81;114;8;2,8;
2024/01/01;2200 UTC;0;916,7;916,9;916,7;402,8;20,2;18,5;21,9;20,2;18,8;18,5;90;81;90;109;7,7;3,3;
2024/01/01;2300 UTC;0;917,2;917,3;916,7;5,8;19,4;18,3;20,2;19,4;18,5;18,3;94;90;93;94;7,6;2,6;
2024/01/02;0000 UTC;0;918,4;918,4;917,2;;19;17,4;19,4;18,9;18,3;17,4;93;90;91;91;7,3;2,3;
2024/01/02;0100 UTC;0;919,4;919,4;918,3;;19;17,5;19,1;18,8;17,6;17,3;91;91;91;106;5,3;,3;
2024/01/02;0200 UTC;0;919,5;919,8;919,3;;18,6;17,4;19;18,6;17,6;17,4;93;91;93;87;3,6;1,2;
2024/01/02;0300 UTC;0;918,4;919,6;918,4;;18,3;17,5;18,6;18,3;17,6;17,4;95;93;95;58;5,2;1,9;
2024/01/02;0400 UTC;0;918,2;918,4;918,1;;17,4;17,1;18,3;17,3;17,4;17,1;98;95;98;53;4;1,3;
2024/01/02;0500 UTC;0;917,5;918,2;917,5;;17;17;17,4;17;17,1;16,9;100;98;100;88;2,7;0;
2024/01/02;0600 UTC;0;917;917,4;917;;16,7;16,7;17,1;16,7;17;16,7;100;100;100;53;2,9;,4;
2024/01/02;0700 UTC;;;;;;;;;;;;;;;;;;
2024/01/02;0800 UTC;;;;;;;;;;;;;;;;;;
2024/01/02;0900 UTC;;;;;;;;;;;;;;;;;;
2024/01/02;1000 UTC;;;;;;;;;;;;;;;;;;
2024/01/02;1100 UTC;0;918,4;;;195,6;19;17,4;;;;;;;91;360;;,8;
2024/01/02;1200 UTC;0;918;918,4;918;2055,1;21,6;17,1;22,5;19;18,3;16,7;91;73;75;60;5,3;2,9;
2024/01/02;1300 UTC;0;917,3;918;917,1;2868,6;23,2;17,1;23,9;21,5;18,3;16,7;76;67;69;51;6,2;2,9;
2024/01/02;1400 UTC;0;916,9;917,4;916,9;3539,1;25,1;16,8;25,3;23,2;18,2;16,3;70;59;60;47;6,6;3,1;
2024/01/02;1500 UTC;0;916,7;917;916,6;4009,5;25,7;14,9;28,3;25,1;17,1;14,3;61;46;51;58;7,6;3,9;
2024/01/02;1600 UTC;0;916,3;916,7;916,2;2775;25,4;17,9;27,4;25,4;18,7;14,6;63;48;63;105;8,3;2,8;
2024/01/02;1700 UTC;0;915,8;916,3;915,8;3011,6;25,9;17,5;26,4;24,8;19;16,9;68;60;60;94;7,7;2,8;
