REGIAO:;S
UF:;SC
ESTACAO:;RANCHO QUEIMADO
CODIGO (WMO):;A870
LATITUDE:;-27,6786111
LONGITUDE:;-49,04194444
ALTITUDE:;881
DATA DE FUNDACAO:;31/05/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;918,5;918,5;917,9;;15,9;;16;15,8;;;;;;58;5,2;1,2;
2024/01/01;0100 UTC;0;919,1;919,1;918,5;;15,8;;16;15,8;;;;;;89;4,8;1,7;
2024/01/01;0200 UTC;0;919,2;919,4;919,1;;16;;16;15,8;;;;;;45;4,4;1,5;
2024/01/01;0300 UTC;0;919,2;919,3;919,1;;16,1;;16,1;15,9;;;;;;104;4,4;,5;
2024/01/01;0400 UTC;0;918,5;919,2;918,5;;16;;16,1;15,9;;;;;;169;1,8;,5;
2024/01/01;0500 UTC;0;917,8;918,5;917,8;;16;;16,2;15,9;;;;;;355;1,8;1,1;
2024/01/01;0600 UTC;0;917,5;917,8;917,4;;16;;16,1;15,9;;;;;;303;3;1,5;
2024/01/01;0700 UTC;0;917,3;917,5;917,2;;16,2;;16,2;16;;;;;;335;3,5;1;
2024/01/01;0800 UTC;0;917,5;917,5;917,2;;16,3;;16,4;16,2;;;;;;302;2,2;,6;
2024/01/01;0900 UTC;0;917,6;917,7;917,5;20,2;16,2;;16,4;16,2;;;;;;42;1,5;,4;
2024/01/01;1000 UTC;0;918;918;917,6;112,7;16,4;;16,4;16,1;;;;;;27;1,6;,7;
2024/01/01;1100 UTC;,6;918,2;918,3;918;368,3;17;;17,1;16,3;;;;;;336;2,5;1,2;
2024/01/01;1200 UTC;,4;918,3;918,4;918,2;605,8;17,1;;17,3;16,8;;;;;;358;5,1;2,5;
2024/01/01;1300 UTC;,2;918,2;918,4;918,2;1021,3;17,8;;18,1;17,1;;;;;;343;5,1;2;
2024/01/01;1400 UTC;,2;918,5;918,5;918,2;1271,5;18,8;;18,8;17,8;;;;;;9;4,7;1,8;
2024/01/01;1500 UTC;0;918,1;918,5;918;1164,1;19;;19,3;18,5;;;;;;354;5,1;2,4;
2024/01/01;1600 UTC;0;917,6;918,1;917,6;2068,2;21,2;;21,2;19;;;;;;11;5,2;2;
2024/01/01;1700 UTC;0;917;917,6;916,9;1685,4;20,3;;21,6;20,3;;;;;;30;6,8;2,9;
2024/01/01;1800 UTC;0;916,5;917;916,5;2056,6;21,1;;21,8;19,8;;;;;;13;7,2;3,3;
2024/01/01;1900 UTC;0;915,8;916,6;915,8;1219,1;21;;21,1;20,1;;;;;;18;7;3,1;
2024/01/01;2000 UTC;0;915,6;915,8;915,5;1139,6;21;;22;20,8;;;;;;4;8,4;3,2;
2024/01/01;2100 UTC;0;915,8;915,9;915,2;469,5;18,5;;21;18,5;;;;;;345;7,2;3,3;
2024/01/01;2200 UTC;0;915,5;915,8;915,5;103,8;18,4;;18,7;18,3;;;;;;31;6,3;2,2;
2024/01/01;2300 UTC;0;916,3;916,3;915,5;2,2;18,2;;18,4;18,1;;;;;;22;4,4;1,5;
2024/01/02;0000 UTC;0;916,8;916,8;916,3;;17,8;;18,2;17,8;;;;;;20;5,1;2,2;
2024/01/02;0100 UTC;0;917,5;917,5;916,8;;17,7;;17,9;17,7;;;;;;15;4,3;1,6;
2024/01/02;0200 UTC;0;917;917,5;917;;17,6;;17,8;17,5;;;;;;3;5,1;2,3;
2024/01/02;0300 UTC;0;917;917;916,9;;17,5;;17,6;17,4;;;;;;5;8,1;2,8;
2024/01/02;0400 UTC;2,4;915,9;917;915,9;;17,4;;17,6;17,4;;;;;;15;7,1;3,2;
2024/01/02;0500 UTC;,6;915,8;915,9;915,8;;17,2;;17,4;17,2;;;;;;11;7,3;3,3;
2024/01/02;0600 UTC;1;915,1;915,8;915,1;0;17,1;;17,2;17;;;;;;2;6,9;2,6;
2024/01/02;0700 UTC;1,2;915,1;915,1;915;,1;17,1;;17,1;17;;;;;;358;8,1;3,7;
2024/01/02;0800 UTC;0;915,7;915,7;915,1;;17,1;;17,2;17;;;;;;344;7,3;2;
2024/01/02;0900 UTC;0;915,7;915,8;915,7;23,4;16,8;;17,2;16,7;;;;;;313;5,2;3,3;
2024/01/02;1000 UTC;0;916,1;916,1;915,7;224,6;17,3;;17,3;16,8;;;;;;325;5,2;1,9;
2024/01/02;1100 UTC;0;916,6;916,7;916,1;252;17,9;;18;17,3;;;;;;154;3,9;,7;
2024/01/02;1200 UTC;0;916,1;916,6;916,1;587,8;17,7;;18,2;17,6;;;;;;319;3,6;2;
2024/01/02;1300 UTC;0;915,9;916,1;915,7;1716,3;18,7;;19,5;17,7;;;;;;333;5,3;2;
2024/01/02;1400 UTC;0;915,9;916;915,7;1770,1;20,4;;20,7;18,6;;;;;;14;6,4;2,6;
2024/01/02;1500 UTC;,2;915,8;915,9;915,6;1074,1;19;;20,7;19;;;;;;21;7,6;3,7;
2024/01/02;1600 UTC;1,2;915,9;916,2;915,8;232,9;17,6;;19;17,6;;;;;;14;7,4;2,7;
2024/01/02;1700 UTC;1,4;915,5;915,9;915,5;820,7;19;;19;17,6;;;;;;67;5,4;1,1;
2024/01/02;1800 UTC;,2;915,2;915,5;915,2;548,5;18,7;;19;18,4;;;;;;321;3,2;1,3;
2024/01/02;1900 UTC;1,6;915,2;915,3;914,7;391,9;18,5;;19;18,5;;;;;;310;2,4;1;
2024/01/02;2000 UTC;1,6;914,8;915,2;914,7;295,4;18,5;;18,7;18,4;;;;;;125;2,4;1,2;
2024/01/02;2100 UTC;,8;914,6;914,9;914,4;242,4;18,2;;18,5;18,2;;;;;;104;3,9;1,9;
2024/01/02;2200 UTC;,2;915,3;915,3;914,6;77,2;17,9;;18,3;17,9;;;;;;112;3,9;1,5;
2024/01/02;2300 UTC;,2;915,8;915,8;915,3;1,3;17,7;;17,9;17,6;;;;;;92;3,7;1,6;
2024/01/03;0000 UTC;1;916,2;916,2;915,7;;16,9;;17,7;16,9;;;;;;85;4,7;1,4;
2024/01/03;0100 UTC;,6;916,5;916,5;916,1;;17;;17,1;16,9;;;;;;112;3,7;,6;
2024/01/03;0200 UTC;1,2;915,9;916,4;915,9;;16,8;;17;16,7;;;;;;61;2,3;,7;
2024/01/03;0300 UTC;,6;915,8;915,9;915,8;;16,7;;16,8;16,7;;;;;;130;1,3;,5;
2024/01/03;0400 UTC;,8;915,1;915,8;914,9;;17;;17;16,7;;;;;;40;2,6;,6;
2024/01/03;0500 UTC;1;914,5;915,1;914,5;;17;;17,1;16,9;;;;;;90;3,6;1,7;
2024/01/03;0600 UTC;,8;914,3;914,6;914,3;;16,5;;17;16,4;;;;;;97;3,9;1,5;
2024/01/03;0700 UTC;0;914,3;914,3;914,2;;16,5;;16,6;16,5;;;;;;53;5,4;1,8;
2024/01/03;0800 UTC;,4;914,4;914,4;914,3;;16,4;;16,5;16,4;;;;;;92;4,7;1,5;
2024/01/03;0900 UTC;,2;914,8;914,8;914,3;6;16,4;;16,5;16,4;;;;;;105;3,6;1,5;
2024/01/03;1000 UTC;,4;915,3;915,4;914,8;111,6;16,6;;16,7;16,2;;;;;;135;3,3;1,7;
2024/01/03;1100 UTC;6,4;916,2;916,2;915,3;223,2;15,9;;16,9;15,9;;;;;;42;4,3;1,7;
2024/01/03;1200 UTC;2,4;916,7;916,7;916,2;397,9;15,9;;16,2;15,7;;;;;;117;4,3;2;
2024/01/03;1300 UTC;,6;916,8;916,8;916,6;543,5;16,1;;16,1;15,7;;;;;;132;4,2;1,7;
2024/01/03;1400 UTC;0;916,8;916,9;916,8;980,1;17,1;;17,1;16;;;;;;120;4,9;2,5;
2024/01/03;1500 UTC;0;916,6;916,8;916,6;1497,6;18,5;;18,5;17;;;;;;107;7,5;2;
2024/01/03;1600 UTC;0;916,4;916,7;916,4;2089,8;18,7;;19,2;17,6;;;;;;128;6,7;3,2;
2024/01/03;1700 UTC;0;916,2;916,4;916,1;1777,6;19,4;;19,4;17,9;;;;;;101;6,4;2,5;
2024/01/03;1800 UTC;0;916,2;916,3;916,1;2141,7;19;;20,3;19;;;;;;93;6,5;3,4;
2024/01/03;1900 UTC;0;916,1;916,4;916,1;934,6;17,5;;19,1;17,5;;;;;;122;7,2;2,2;
2024/01/03;2000 UTC;0;915,8;916,1;915,8;435,9;17;;17,7;17;;;;;;133;5,9;2,4;
2024/01/03;2100 UTC;,2;915,9;916;915,8;135;16,6;;17,3;16,6;;;;;;119;5,9;2,1;
2024/01/03;2200 UTC;,4;916,6;916,6;915,9;50,1;16,3;;16,9;16,3;;;;;;160;5,1;1,7;
2024/01/03;2300 UTC;0;916,6;916,9;916,5;3,3;16,2;;16,3;16,1;;;;;;164;4,5;1,8;
2024/01/04;0000 UTC;0;916,8;916,8;916,4;;16,1;;16,2;16,1;;;;;;162;6,7;1,7;
2024/01/04;0100 UTC;0;917;917;916,6;;15,3;;16,1;15,2;;;;;;191;4,3;1,4;
2024/01/04;0200 UTC;0;917;917,2;916,8;;15,7;;15,8;15,1;;;;;;153;3,6;1,5;
2024/01/04;0300 UTC;0;916,6;917,1;916,6;;16;;16,1;15,7;;;;;;154;3,4;1,3;
2024/01/04;0400 UTC;,4;916,1;916,8;916,1;;15,7;;16;15,7;;;;;;132;4,1;1,4;
2024/01/04;0500 UTC;0;915,5;916,1;915,5;;15,3;;15,7;15;;;;;;208;2,7;,8;
2024/01/04;0600 UTC;,4;915,2;915,5;915,2;;15,5;;15,6;15,3;;;;;;160;1,7;,6;
2024/01/04;0700 UTC;,4;915,1;915,2;914,9;;15,7;;15,7;15,4;;;;;;168;1,6;,6;
