REGIAO:;S
UF:;SC
ESTACAO:;CHAPECO
CODIGO (WMO):;A895
LATITUDE:;-27,0853111
LONGITUDE:;-52,6357111
ALTITUDE:;679
DATA DE FUNDACAO:;19/02/19
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;935,9;935,9;935,2;;23,5;16,3;24,2;23,5;16,3;15,9;64;60;64;97;4,2;2,6;
2024/01/01;0100 UTC;0;936,7;936,7;935,9;;22,9;16;23,6;22,9;16,4;16;66;64;65;94;3,5;1,9;
2024/01/01;0200 UTC;0;937,2;937,2;936,7;;22,2;17;23,1;22,2;17;15,8;72;64;72;122;4,4;3;
2024/01/01;0300 UTC;0;936,8;937,2;936,8;;22,4;17;22,6;22,2;17,4;17;74;71;71;112;5,6;3,7;
2024/01/01;0400 UTC;0;936,3;936,8;936,3;;21,6;17,3;22,4;21,6;17,4;16,7;77;71;77;114;8;5;
2024/01/01;0500 UTC;0;936;936,3;936;;20,5;17;21,6;20,4;17,4;17;81;77;80;92;7,4;3,8;
2024/01/01;0600 UTC;0;935,1;936;934,9;;20,7;16,2;20,7;20;17;16,2;83;76;76;62;5,3;2,5;
2024/01/01;0700 UTC;0;935,1;935,1;934,7;;20,7;16,2;20,8;20,5;16,3;16,2;77;75;75;66;6,4;1,9;
2024/01/01;0800 UTC;0;935,3;935,3;934,9;;20,1;16,1;20,7;20,1;16,2;16,1;78;75;78;54;5,9;2,9;
2024/01/01;0900 UTC;0;935,8;935,8;935,3;15,1;19,7;16,1;20,2;19,6;16,1;15,9;80;77;80;86;5,7;2,6;
2024/01/01;1000 UTC;0;936,2;936,2;935,7;417;20,8;16,3;20,9;19,7;16,6;16,1;80;75;75;98;6,9;4,3;
2024/01/01;1100 UTC;0;936,9;936,9;936,2;1017,7;22,2;16,7;22,2;20,8;16,9;16,1;76;71;71;93;7,5;3,7;
2024/01/01;1200 UTC;0;937;937,1;936,9;2076,4;23;17,1;23,3;22,1;17,7;16,4;72;67;69;74;6;3,6;
