REGIAO:;S
UF:;SC
ESTACAO:;CAMPOS NOVOS
CODIGO (WMO):;A898
LATITUDE:;-27,3886111
LONGITUDE:;-51,21583333
ALTITUDE:;963
DATA DE FUNDACAO:;15/02/19
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;903,7;903,7;902,9;;20,3;16;21,1;20,3;16;14,1;76;65;76;84;7,3;2,9;
2024/01/01;0100 UTC;0;904,3;904,4;903,7;;20;16,2;20,4;20;16,3;16;79;76;79;69;7,1;4,5;
2024/01/01;0200 UTC;0;904,8;904,8;904,3;;19,1;16,2;20;19,1;16,2;16,1;83;79;83;65;7,1;4,5;
2024/01/01;0300 UTC;0;904,8;904,9;904,7;;18,5;16,1;19,1;18,5;16,3;16,1;86;83;86;68;7,8;4,7;
2024/01/01;0400 UTC;0;904,6;904,8;904,5;;17,8;15,7;18,5;17,8;16,1;15,7;88;86;88;74;7,9;4,2;
2024/01/01;0500 UTC;0;904,1;904,6;904,1;;17,5;15,5;17,9;17,3;15,7;15,4;89;87;88;69;7;4,8;
2024/01/01;0600 UTC;0;903,2;904,1;903,2;;17,3;14,6;17,6;17,3;15,5;14,6;88;83;84;58;9,2;6,3;
2024/01/01;0700 UTC;0;903;903,3;902,9;;17,3;14,2;17,4;17,2;14,6;14,2;84;82;82;49;12;7,5;
2024/01/01;0800 UTC;0;903,5;903,5;902,9;;17,2;14;17,3;17,2;14,2;14;83;81;82;33;12,9;7,4;
2024/01/01;0900 UTC;0;904,1;904,1;903,4;18,6;16,9;14,1;17,2;16,9;14,2;14;83;82;83;54;12,7;5,5;
2024/01/01;1000 UTC;0;904,7;904,7;904,1;259,5;17,6;14,2;17,7;16,9;14,5;14,1;84;80;81;48;8,6;5,7;
2024/01/01;1100 UTC;0;904,9;904,9;904,6;781,2;18,3;14,4;18,8;17,6;15;14,2;82;77;78;50;9,9;6,7;
2024/01/01;1200 UTC;0;904,4;904,9;904;1616;19,9;15,2;19,9;18,2;15,5;14,5;79;75;75;39;9,7;6,4;
2024/01/01;1300 UTC;0;903,6;904,4;903,4;2914,9;21,7;16;22;19,9;16,3;14,9;76;67;70;42;8,8;4,3;
2024/01/01;1400 UTC;0;903,6;904,1;903,4;3294,7;23,3;16;24;21,7;17,1;15,2;71;61;64;8;7,3;4;
2024/01/01;1500 UTC;0;903,3;903,9;903,2;3692,6;24,5;16,4;24,9;22,9;16,9;15,3;67;57;61;352;7,2;2,5;
2024/01/01;1600 UTC;0;903,2;903,5;903;3673,2;25,8;15,9;26;24,5;17,4;14,8;62;52;55;278;5,8;2,6;
2024/01/01;1700 UTC;0;902,3;903,2;902,3;3321,6;27;15,9;27,1;25,1;16,9;14,8;58;50;51;305;6,5;2,5;
2024/01/01;1800 UTC;0;901,7;902,3;901,7;3458,7;28;16,7;28;26,1;16,7;14,5;53;44;50;304;5,9;2,5;
2024/01/01;1900 UTC;0;901,2;901,7;901,2;3220,1;27,3;15,3;28,9;26,8;16,7;12,7;50;38;48;165;6,3;4;
2024/01/01;2000 UTC;0;900,7;901,3;900,7;1826,1;27,1;15;27,5;26,4;15,6;14,6;50;46;48;162;6,3;2,6;
2024/01/01;2100 UTC;0;900,3;900,7;900,2;1268,6;28,1;15;28,1;26,9;15,6;14,1;48;45;45;244;5,6;,7;
2024/01/01;2200 UTC;0;900,6;900,6;900,3;499;25,9;14,7;28,3;25,9;15,5;14,1;50;44;50;84;4,5;1,8;
